according	accordingly
actual	actually
additional	additionally
apparent	apparently
beautiful	beautifully
clinical	clinically
creative	creatively
critical	critically
cultural	culturally
decided	decidedly
different	differently
digital	digitally
effective	effectively
environmental	environmentally
extensive	extensively
famous	famously
federal	federally
financial	financially
global	globally
historical	historically
huge	hugely
immediate	immediately
important	importantly
increasing	increasingly
interesting	interestingly
internal	internally
international	internationally
legal	legally
mental	mentally
nice	nicely
obvious	obviously
physical	physically
political	politically
popular	popularly
practical	practically
previous	previously
rare	rarely
regional	regionally
serious	seriously
sexual	sexually
significant	significantly
similar	similarly
strong	strongly
subsequent	subsequently
successful	successfully
traditional	traditionally
typical	typically
unique	uniquely
virtual	virtually
visual	visually
