ambitious	overambitious/over-ambitious
arching	overarching/over-arching
booked	overbooked/over-booked
charged	overcharged/over-charged
compensated	overcompensated/over-compensated
confident	overconfident/over-confident
cooked	overcooked/over-cooked
crowded	overcrowded/over-crowded
developed	overdeveloped/over-developed
done	overdone/over-done
dressed	overdressed/over-dressed
enthusiastic	overenthusiastic/over-enthusiastic
excited	overexcited/over-excited
exposed	overexposed/over-exposed
filled	overfilled/over-filled
grown	overgrown/over-grown
heard	overheard/over-heard
heated	overheated/over-heated
inflated	overinflated/over-inflated
laid	overlaid/over-laid
loaded	overloaded/over-loaded
optimistic	overoptimistic/over-optimistic
paid	overpaid/over-paid
painted	overpainted/over-painted
played	overplayed/over-played
populated	overpopulated/over-populated
powered	overpowered/over-powered
protected	overprotected/over-protected
protective	overprotective/over-protective
qualified	overqualified/over-qualified
represented	overrepresented/over-represented
saturated	oversaturated/over-saturated
shadowed	overshadowed/over-shadowed
simplified	oversimplified/over-simplified
sized	oversized/over-sized
sold	oversold/over-sold
spent	overspent/over-spent
stated	overstated/over-stated
stimulated	overstimulated/over-stimulated
stocked	overstocked/over-stocked
strained	overstrained/over-strained
stressed	overstressed/over-stressed
stretched	overstretched/over-stretched
subscribed	oversubscribed/over-subscribed
taken	overtaken/over-taken
thrown	overthrown/over-thrown
turned	overturned/over-turned
used	overused/over-used
written	overwritten/over-written
zealous	overzealous/over-zealous
