amazing	amazingness
attractive	attractiveness
aware	awareness
broken	brokenness
careful	carefulness
cheap	cheapness
competitive	competitiveness
connected	connectedness
conscious	consciousness
creative	creativeness
dangerous	dangerousness
devoted	devotedness
directed	directedness
distinct	distinctness
distinctive	distinctiveness
effective	effectiveness
extensive	extensiveness
fixed	fixedness
foreign	foreignness
happy	happiness
helpful	helpfulness
hidden	hiddenness
hot	hotness
huge	hugeness
impressive	impressiveness
innovative	innovativeness
interesting	interestingness
mad	madness
marked	markedness
massive	massiveness
nice	niceness
obvious	obviousness
odd	oddness
prepared	preparedness
pure	pureness
random	randomness
rare	rareness
reasonable	reasonableness
related	relatedness
righteous	righteousness
sacred	sacredness
sad	sadness
same	sameness
serious	seriousness
situated	situatedness
strange	strangeness
unique	uniqueness
useful	usefulness
vast	vastness
weak	weakness
