acquire	reacquire
adjust	readjust
appear	reappear
apply	reapply
appoint	reappoint
arrange	rearrange
assess	reassess
assign	reassign
assure	reassure
calculate	recalculate
cognize	recognize
commend	recommend
configure	reconfigure
confirm	reconfirm
connect	reconnect
consider	reconsider
create	recreate
decorate	redecorate
deem	redeem
define	redefine
develop	redevelop
discover	rediscover
distribute	redistribute
emerge	reemerge
engage	reengage
establish	reestablish
evaluate	reevaluate
examine	reexamine
generate	regenerate
grow	regrow
install	reinstall
integrate	reintegrate
interpret	reinterpret
introduce	reintroduce
invest	reinvest
investigate	reinvestigate
learn	relearn
locate	relocate
marry	remarry
negotiate	renegotiate
occur	reoccur
organize	reorganize/reorganise
publish	republish
send	resend
solve	resolve
submit	resubmit
tell	retell
unite	reunite
upload	reupload
write	rewrite
