accept	acceptable
achieve	achieveable
adapt	adaptable
adjust	adjustable
admire	admirable
adore	adorable
advise	advisable
afford	affordable
avoid	avoidable
believe	believeable/believable
consider	considerable
contain	containable
define	definable
deliver	deliverable
discover	discoverable
dispose	disposable
download	downloadable
edit	editable
enjoy	enjoyable
execute	executable
expand	expandable
expect	expectable
explain	explainable
extend	extendable
foresee	foreseeable
identify	identifiable
imagine	imaginable
improve	improvable
inflate	inflatable
learn	learnable
maintain	maintainable
manage	manageable
observe	observable
perform	performable
predict	predictable
prefer	preferable
prevent	preventable
protect	protectable
publish	publishable
recognize	recognizable/recognisable
recommend	recommendable
rely	reliable
renew	renewable
replace	replaceable
represent	representable
survive	survivable
sustain	sustainable
understand	understandable
vary	variable
write	writeable/writable
