accuse	accusation
admire	admiration
allege	allegation
aspire	aspiration
authorize	authorization/authorisation
characterize	characterization/characterisation
civilize	civilization/civilisation
colonize	colonization
compile	compilation
compute	computation
condense	condensation
configure	configuration
consult	consulation
continue	continuation
customize	customization
declare	declaration
degrade	degradation
deprive	deprivation
derive	derivation
determine	determination
examine	examination
expire	expiration
explore	exploration
globalize	globalization/globalisation
illumine	illumination
imagine	imagination
improvize	improvization/improvisation
inspire	inspiration
install	installation/instalation
maximize	maximization/maximisation
minimize	minimization/minimisation
modernize	modernization/modernisation
oblige	obligation
observe	observation
occupy	occupation
optimize	optimization/optimisation
organize	organization
perspire	perspiration
prepare	preparation
privatize	privatization/privatisation
randomize	randomization/randomisation
realize	realization/realisation
reorganize	reorganization/reorganisation
restore	restoration
specialize	specialization/specialisation
stabilize	stabilization
standardize	standardization/standardisation
starve	starvation
utilize	utilization/utilisation
visualize	visualization
