abuja	nigeria
amman	jordan
ankara	turkey
athens	greece
baghdad	iraq
bangkok	thailand
beijing	china
beirut	lebanon
belgrade	serbia
berlin	germany
bern	switzerland
brussels	belgium
bucharest	romania
budapest	hungary
cairo	egypt
canberra	australia
conakry	guinea
copenhagen	denmark
damascus	syria
dhaka	bangladesh
dublin	ireland
hanoi	vietnam
havana	cuba
helsinki	finland
islamabad	pakistan
jakarta	indonesia
kabul	afghanistan
kiev	ukraine
kingston	jamaica
lima	peru
lisbon	portugal
london	england/uk/britain
madrid	spain
manila	philippines
moscow	russia
nairobi	kenya
oslo	norway
ottawa	canada
paris	france
rome	italy
santiago	chile
sofia	bulgaria
stockholm	sweden
taipei	taiwan
tbilisi	georgia
tehran	iran
tokyo	japan
vienna	austria
warsaw	poland
zagreb	croatia
