aberdeen	aberdeenshire
bath	somerset
belfast	antrim
birmingham	midlands
bradford	yorkshire
brighton	sussex
cambridge	cambridgeshire
canterbury	kent
cardiff	glamorgan
carlisle	cumbria
chester	cheshire
chichester	sussex
coventry	midlands
crawley	sussex
derby	derbyshire
dundee	lowlands
edinburgh	lowlands
ely	cambridgeshire
exeter	devon
glasgow	lowlands
gloucester	gloucestershire
hereford	herefordshire
hull	yorkshire
inverness	highlands
lancaster	lancashire
leeds	yorkshire
leicester	midlands
lincoln	lincolnshire
liverpool	lancashire
newcastle	northumberland
newport	gwent
norwich	norfolk
nottingham	nottinghamshire
oxford	oxfordshire
plymouth	devon
portsmouth	hampshire
preston	lancashire
reading	berkshire
salford	manchester
salisbury	wiltshire
sheffield	yorkshire
southampton	hampshire
stirling	stirlingshire
swansea	glamorgan
wakefield	yorkshire
wells	somerset
winchester	hampshire
wolverhampton	midlands
worcester	worcestershire
york	yorkshire
