andersen	writer/poet/author
aristotle	philosopher
balzac	novelist/writer
beethoven	composer
caesar	emperor/commander/leader
columbus	explorer
confucius	philosopher
dante	poet
darwin	naturalist/biologist/geologist
depp	actor/producer/musician
descartes	mathematician/philosopher
dickens	novelist/writer/critic/author
edison	inventor/businessman
einstein	physicist/scientist
euler	mathematician/physicist/astronomer/logician/engineer
goethe	poet/playwright/novelist/writer/author
hawking	physicist/scientist
haydn	composer
hegel	philosopher
hitler	dictator/politician/nazi
hume	philosopher/politician
jolie	actress/filmmaker/director/humanitarian/activist
kant	philosopher
kepler	mathematician/physicist/astronomer/astrologer
lincoln	president
locke	philosopher
marx	philosopher/communist
maxwell	physicist/scientist
mencius	philosopher
michelangelo	sculptor/painter/architect/artist/poet/engineer
moses	prophet/leader
mozart	composer
napoleon	emperor/leader/politician/commander
newton	scientist/mathematician/psysicist/philosopher
pacino	actor/director/filmmaker
pascal	mathematician/philosopher
picasso	painter/artist/sculptor/designer
plato	philosopher
raphael	painter/artist/architect
rembrandt	painter/etcher/artist
rousseau	writer/author/philosopher
schwarzenegger	actor/politician/governor
shakespeare	playwright/poet
spinoza	philosopher
stalin	dictator/politician/leader/statesman
strauss	composer
tolstoi	novelist/writer/philosopher
truman	president
wagner	composer
wittgenstein	philosopher
