alpaca	bray
bear	growl
bee	buzz/hum
beetle	drone
cat	meow/meu/purr/caterwaul
cattle	moo/bellow/low
chicken	cluck/crow/cock-a-doodle-doo
chimpanzee	scream
cicada	buzz
coyote	howl
cricket	chirp
crow	caw
deer	bellow
dog	bark/growl/howl/yelp/whine/arf/bow_wow/woof
donkey	bray/hee-haw
duck	quack
elephant	trumpet
elk	bellow
ferret	dook
fly	buzz
fox	howl/yelp
frog	ribbit/croak
goat	bleat
gorilla	grunt/scream
hornet	buzz
horse	neigh/snort/whinny
hound	bark/howl/bay
hyena	laugh
leopard	growl
lion	roar/growl
magpie	chatter
mallard	quack
monkey	chatter/gibber/howl/scream
moose	bellow
mouse	squeak
mule	bray/hee-haw
pig	oink/grunt/gruff/squeal
pigeon	coo
rat	squeak
raven	caw
seal	bark
sheep	baa/bleat
snake	hiss
songbird	chirrup/chirp/tweet/sing/warble/twitter
tiger	growl/roar
toad	ribbit/croak
turkey	gobble
wasp	buzz
whale	sing
wolf	howl
