ant	black/brown/red
apple	red/orange/yellow/golden
blackboard	black/green
blood	red
blueberry	blue/black
broccoli	green
bruise	blue/purple
cabbage	green
carrot	orange/red/yellow
cauliflower	white/green/yellow/yellowish
celery	green/white/brown
cherry	red/yellow/black
chocolate	white/brown/black
cloud	white/gray/grey
coal	black
coffee	black/brown
cranberry	red/purple/pink
cream	white
crow	black
cucumber	green
emerald	green
fridge	white/silver/black
frog	green/brown/grey/gray
grapes	black/red/green/purple
grass	green
leaves	green/red/yellow
milk	white
paper	white/color
parsley	green
peony	red/white/pink/purple
pepper	black/red/green/yellow/orange
potato	brown
radish	red/pink/white/green/black
raven	black
rose	red/yellow/pink/white/blue
ruby	red
salt	white
sapphire	blue
sea	blue/green/gray/grey
sky	blue/gray/grey
snow	white
soil	black/brown/dark
spinach	green
sugar	white/brown
sun	yellow/gold
swan	white/black/gray/grey
tea	black/green/white/red/brown/yellow
tomato	red
toothpaste	white
yoghurt	white/pink
