ability	abilities
academy	academies
activity	activities
agency	agencies
analysis	analyses
army	armies
authority	authorities
basis	bases
business	businesses
category	categories
century	centuries
child	children
city	cities
community	communities
country	countries
county	counties
datum	data
duty	duties
economy	economies
energy	energies
entry	entries
facility	facilities
family	families
formula	formulae
history	histories
industry	industries
library	libraries
life	lives
loss	losses
majority	majorities
memory	memories
opportunity	opportunities
policy	policies
property	properties
responsibility	responsibilities
safety	safeties
secretary	secretaries
security	securities
series	series
society	societies
species	species
story	stories
strategy	strategies
success	successes
technology	technologies
theory	theories
university	universities
variety	varieties
wife	wives
woman	women
