angry	angrier
cheap	cheaper
clever	cleverer
coarse	coarser
costly	costlier
cute	cuter
dense	denser
dumb	dumber
fierce	fiercer
handy	handier
happy	happier
hardy	hardier
harsh	harsher
healthy	healthier
hot	hotter
huge	huger
hungry	hungrier
lazy	lazier
lengthy	lengthier
lucky	luckier
mad	madder
merry	merrier
mild	milder
moist	moister
nasty	nastier
neat	neater
nice	nicer
noisy	noisier
proud	prouder
pure	purer
risky	riskier
rocky	rockier
rude	ruder
sad	sadder
scary	scarier
sexy	sexier
sticky	stickier
strict	stricter
strong	stronger
subtle	subtler
sunny	sunnier
tasty	tastier
tiny	tinier
tricky	trickier
ugly	uglier
vague	vaguer
vast	vaster
weak	weaker
wealthy	wealthier
weird	weirder
