able	ablest
angry	angriest
cheap	cheapest
clever	cleverest
costly	costliest
cruel	cruelest
cute	cutest
dense	densest
dumb	dumbest
fierce	fiercest
handy	handiest
happy	happiest
hardy	hardiest
harsh	harshest
healthy	healthiest
hot	hottest
huge	hugest
hungry	hungriest
lazy	laziest
lengthy	lengthiest
lucky	luckiest
merry	merriest
mild	mildest
nasty	nastiest
neat	neatest
nice	nicest
noisy	noisiest
polite	politest
proud	proudest
pure	purest
rare	rarest
risky	riskiest
rude	rudest
sad	saddest
scary	scariest
sexy	sexiest
shiny	shiniest
strange	strangest
strict	strictest
strong	strongest
subtle	subtlest
sunny	sunniest
tasty	tastiest
tiny	tiniest
tricky	trickiest
ugly	ugliest
vague	vaguest
weak	weakest
wealthy	wealthiest
weird	weirdest
