achieve	achieving
add	adding
allow	allowing
appear	appearing
apply	applying
ask	asking
attend	attending
avoid	avoiding
become	becoming
believe	believing
consider	considering
contain	containing
continue	continuing
create	creating
develop	developing
encourage	encouraging
enjoy	enjoying
ensure	ensuring
establish	establishing
exist	existing
expect	expecting
follow	following
happen	happening
identify	identifying
improve	improving
include	including
involve	involving
learn	learning
lose	losing
maintain	maintaining
manage	managing
operate	operating
perform	performing
prevent	preventing
promote	promoting
protect	protecting
provide	providing
receive	receiving
reduce	reducing
refer	referring
remain	remaining
remember	remembering
represent	representing
require	requiring
seem	seeming
sit	sitting
spend	spending
teach	teaching
tell	telling
understand	understanding
