after	before/earlier/previously
ahead	behind/rear/after/tail/beforehand
anterior	posterior
backward	forward/forwards/frontward/frontwards/forrad/forrard/forth/onward
before	after/subsequently/later/afterwards/afterward/ahead
beginning	end/terminal/ending/last/final/finish/finale/conclusion
below	above/higher/up
climb	descend/declivitous/downhill/downward-sloping/degressive/descendant/descendent/down/downward/downward-arching/drizzling/dropping/falling/raining
dead	alive/living/live
decrement	increment
descend	ascend/climb/rise/upward/ascendent/ascendant
dive	emerge
down	up/above/ahead/lead/leading/aweigh/dormie/dormy/heavenward/skyward/risen/sprouted/upbound/upfield/upward
downslope	upslope/ascent
drop	lift/pick_up
dynamic	static/still/unmoving/unchanging
employ	dismiss/fire/sack/displace/terminate
exit	entrance/entranceway/entryway/entry/entree
fall	rise/upward/climb
first	last/end/terminal/ending/final/finish/finale/conclusion
forget	remember/retrieve/recall/call_back/call_up/recollect
forward	backward/back/backwards/rearward/rearwards
front	back/rear/forepart
in	out/outer/exterior/outside
inbound	outbound
inhale	exhale
input	output
inside	outside/exterior/out
interior	exterior/outdoor/out-of-door/outside
internal	external/outer/outside
inverse	reverse/reversion/reversal/turnabout/turnaround
mortal	immortal
occupied	vacant/free
off	on
out	in/inside
outward	upward/up/upwards
over	under/below/beneath
previously	subsequently/later/afterwards/afterward/after/subsequent
proceed	retreat/return
rise	sink/drop/fall
south	north
southeast	southwest/northeast
submerge	emerge
top	bottom/underside/undersurface
toward	away/off/forth/aside
true	false/incorrect/wrong/mistaken
under	over/above/up
up	down/downwards/downward/downwardly
uphill	downhill/decline/fall/declivitous/downward-sloping
west	east
