backpack	daypack/kitbag/kit_bag
bag	pouch/backpack/knapsack/packsack/rucksack/haversack/beanbag/bladder/pouch/carryall/holdall/tote/tote/drawstring/dust/vacuum/envelope/gasbag/gamebag/golf/gunnysack/gunny/burlap/ice/mailbag/postbag/nosebag/feedbag/pannier/plastic/purse/ragbag/rosin/sachet/sack/poke/paper/carrier/saddlebag/sandbag/schoolbag/shopping/sick_bag/sickbag/skin/sleeping/sweat/tea/toilet/sponge/tool/tucker-bag
bed	bunk/berth/built/built-in/bunk/cot/camp/couch/deathbed/double/four-poster/hammock/sack/marriage_bed/murphy/plank-bed/platform/sickbed/single_bed/sleigh/trundle/truckle/truckle/twin/water/semi-double/semidouble
boat	ferry/ark/barge/flatboat/hoy/lighter/bumboat/canal_boat/narrow_boat/narrowboat/ferryboat/fireboat/gondola/guard_boat/gunboat/junk/longboat/lugger/mackinaw/mackinaw/mailboat/mail/packet/packet/motorboat/powerboat/pilot/police/punt/river_boat/scow/sea_boat/small_boat/steamboat/surfboat/tender_boat/pinnace/cutter_boat/tugboat/tug/towboat/tower_boat/motorboat/yacht/sail/row/canoe/kayak/paddle/paddle_boat
book	paperback/album/folio/hardback/hardcover/journal/novel/order/paper-back/softback/soft-cover/picture/sketchbook/sketch/notebook
brush	toothbrush/bottlebrush/bristle/clothesbrush/hairbrush/nailbrush/paintbrush/sable/scrub/scrubbing/scrubber/shaving_brush
burger	hamburger/cheeseburger/50/50_burger/angus_burger/banquet_burger/barbecue_burger/bøfsandwich/utter_burge/buffalo_burger/california_burger/chili_burger/curry_burger/hamdog/salmon_burger/rice_burger/veggie_burger
camera	camcorder/box_camera/box_kodak/candid_camera/digital_camera/flash_camera/motion-picture_camera/movie_camera/cine-camera/point-and-shoot_camera/point-and-shoot/polaroid_camera/polaroid_land_camera/polaroid/portrait_camera/reflex_camera/webcam/webcamera/sound_camera
candy	lollipop/candy_bar/carob_bar/hard_candy/brandyball/patty/bonbon/brittle/toffee/toffy/butterscotch/candy_cane/candy_corn/caramel/cotton_candy/spun_sugar/candyfloss/dragee/fondant/fudge/gumdrop/honey_crisp/mint/mint_candy/horehound/jelly_bean/jelly_egg/kiss/candy_kiss/licorice/liquorice/life_saver/sucker/all-day_sucker/lozenge/marshmallow/marzipan/marchpane/nougat/nougat_bar/nut_bar/peanut_bar/popcorn_ball/praline/rock_candy/rock/sugar_candy/sugarplum/taffy/truffle/chocolate_truffle/turkish_delight/easter_egg
car	limousine/convertible/ambulance/beach/wagon/station/estate/waggon/bus/jalopy/heap/cab/hack/taxi/taxicab/compact/coupe/cruiser/police/patrol/prowl/squad/electric/hardtop/hatchback/hot-rod/jeep/landrover/limo/loaner/minicar/minivan/model/pace/racer/race/racing/roadster/runabout/two-seater/sedan/saloon/sports/sport/sport/suv/stanley/steamer/stock/subcompact/touring/tourer/used/secondhand
church	chapel/abbey/basilica/cathedral/duomo/kirk
citrus	lemon/orange/lime/mandarin/tangerine/yuzu
cloud	thundercloud/cirrocumulus/cirrocumulus/cirrostratus/cirrus/contrail/condensation/trail/cumulonimbus/cumulonimbus/cumulus/nacreous/nebule/nimbus/rain/storm/stratus/mushroom/smoke
collar	choker/ruff/ruffle/clerical/roman_collar/dog_collar/eton_collar/rabato_collar/rebato_collar/turtleneck/polo-neck/neckpiece
color	white/black/blue/green/red/yello/orange/vermilion/amber/chartreuse/teal/violet/magenta/rose/azure/cyan/indigo/purple/brown
computer	laptop/desktop/tablet/smartphone/supercomputer/iphone/ipad
container	bag/handbag/pocketbook/purse/basket/handbasket/bin/bowl/pipe/bowl/box/bread-bin/breadbox/bunker/can/tin/canister/cannister/capsule/cargo/case/display/showcase/vitrine/cassette/cup/cylinder/dice/cup/box/dish/dispenser/drawer/dumpster/empty/envelope/glass/bag/bottle/mailer/manger/trough/measure/mold/mould/cast/package/parcel/pan/pod/pot/flowerpot/flask/receptacle/reliquary/saltcellar/savings/bank/coin/money/bank/scuttle/coal/scuttle/shaker/spoon/thimble/capsule/vessel/basket/bin/waste-paper/wastebasket/waste/file/can/pot/workbasket/workbox/workbag
cookware	pot/baster/chafing/dish/cooker/sheet/tray/enamelware/grid/gridiron/griddle/pan/poacher/skimmer/steamer/turner
cup	teacup/beaker/chalice/goblet/coffee_cup/dixie/paper_cup/grace/kylix/cylix/mustache_cup/moustache_cup/scyphus/grail
cushion	pincushion/pillow/air/inflatable/gaddi/hassock/headrest/pillow/seat
cutlery	knife/fork/spoon/tablefork/teaspoon/dessert_spoon/salad_fork/carving_fork
