atmosphere	gas/oxygen/hydrogen/nitrogen/ozone
bag	leather/fabric/plastic
beach	sand/silicon/rocks/pebbles/atomic_number_14/si
beard	hair
body	flesh/bones
boots	leather/canvas
bottle	glass/plastic
bowl	glass/china/aluminium/wood/steel/plastic/clay
box	cardboard/tin/boxwood/turkish_boxwood
bread	flour/yeast/
bronze	copper/tin/cu/atomic_number_29
candy	sugar/nougat/chocolate/gelatin/molasses/syrup/honey/fruit/nuts
chocolate	cocoa/bean/cacao/cacao_bean/cocoa_bean
clothing	fabric/leather/
cloud	vapor/water/vapour/water_vapour/water_vapor
cocktail	alcohol/juice/water
concrete	silicon/cement/water/sand/atomic_number_14/si
desk	wood/metal/steel
diamond	carbon
doorknob	metal/steel/bronze/wood
flag	fabric/paper
glacier	ice/water/oxygen/hydrogen/h/h2o/atomic_number_8/atomic_number_1/o/water_ice
glass	silicone
house	bricks/cement/wood/clay
ice	water/oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
icicle	ice/water
jam	fruit/sugar/berries
jeans	fabric/denim
lawn	grass
lens	glass/plastic
mirror	glass/bronze
money	paper/metal/silver/gold/iron/copper/tin
ocean	water
omelette	eggs/egg/milk/cheese
pastry	flour/egg/butter/filling
penny	metal/alloy/bronze/nickel/zinc/copper/tin
pill	medicine/drug
plastic	polymer/oil/gas/coal
roof	shingles/tiles/wood/metal
sea	water
snow	water/oxygen/hydrogen/flake/ice/snowflake/snowflakes/h2o/atomic_number_1/atomic_number_8/h/o
spoon	aluminium/wood/steel
steel	iron/pearlite/carbon/cementite/ferrite/iron_carbide/fe/atomic_number_26/alpha_iron
table	wood/metal/plastic
wall	cement/bricks/stones/rocks/wood/cardboard/board/plank/clay/mud
water	oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
wig	hair
wine	grapes/grape
wire	metal
yogurt	milk
