acrobat	troupe
antelope	herd
bee	swarm/hive/colony/drift/cast/nest/rabble/stand
bird	flock
book	library/shelf/collection/accounting/accounting_system/method_of_accounting
calf	cattle/herd
car	train/procession
cat	clowder/glaring/clutter/pounce
cattle	herd
christian	congregation/church/parish
citizen	citizenry/country/state
college	university
county	state/country
cow	herd
crow	murder
division	company/business/platoon/battle_group
elephant	herd
employee	staff/company
fish	school
flower	bouquet/bunch
galaxy	universe
goose	gaggle
juror	jury
kitten	litter
letter	alphabet
lion	pride
listener	audience
member	club/team/group/band/community
musician	orchestra/band
nomad	horde
page	book/notebook/website/web-site
parishioner	parish/church
person	society/company/party/world
photo	album/collection/library
player	team/group/orchestra
policeman	police
secretary	staff
senator	senate/house
sheep	flock
shrub	shrubbery
singer	choir/band/duo/trio/quartet
soldier	army/unit/division/troop
song	album/collection/antology/library
spouse	couple/relationship/family
star	constellation/galaxy
state	country/province
student	class/school
tree	forest/wood/grove
wolf	pack
word	paragraph/sentence/text
