academia	college/university/institute
apartment	bedroom/room/bathroom/kitchen/kitchenette/living_room/pantry/toilet/shower_room
bird	feathers/plume/preen/croup/calamus/fowl/drumstick/syrinx/bill/rump/vane/barb/quill/shaft/pecker/pennon/feet/giblets/alula/talon/foot/pinion/wing/wishbone/nib/sac/giblet/furcula/bird/neb/feather/gland/oyster/thigh/plumage/web/hindquarters/beak/parson's_nose/wishing_bone/pope's_nose/spurious_wing/bastard_wing/croupe/air_sac/quill_feather/uropygium/bird's_foot/uropygial/second_joint/uropygial_gland/preen_gland/flight_feather/dark_meat
brush	bristle/hold/shank/grip/handgrip/handle/head/stem
bus	seats/conductor/window/driver/roof
byte	bit
car	engine/armrest/headrest/grille/hinge/tailpipe/suspension/hood/horn/hooter/petrol/pintle/trunk/floorboard/bar/gas/buffer/door/stabilizer/seat/window/exhaust/tailfin/back/luggage/pedal/cowling/seatbelt/high/wing/gasoline/fin/cowl/silencer/gun/compartment/rear/radiator/accessory/sunroof/roof/lights/bumper/glove/bag/cushion/backrest/accelerator/fender/third/throttle/bonnet/air/gear/muffler/mirror/shock/reverse/anti-sway_bar/tail_fin/accelerator_pedal/car_seat/automobile_horn/anti-sway/automobile_engine/gasoline_engine/car_door/shock_absorber/luggage_compartment/glove_compartment/bumper_guard/exhaust_system/first_gear/high_gear/rear_window/sunshine-roof/third_gear/air_bag/doorlock/petrol_engine/automobile_trunk/auto_accessory/inlet_manifold/horn_button/running_board/stabilizer_bar/motor_horn/exhaust_manifold/exhaust_pipe/radiator_grille/low_gear/flexible_joint/head_restraint/hood_ornament/exhaust_valve/car_mirror/gas_pedal/seat_belt/reverse_gear/car_horn/car_window/suspension_system
castle	donjon/tower/turret/gate/dungeon/moat/keep/great_hall
cat	whiskers/coat/paw/paws/fur/eyes/back/claws/tail/teeth
chair	seat/armrest/headrest/armrests/rest/pad/back/leg/backrest/legs
church	altar/choir/vestry/transept/apse/sanctuary/rood/screen/bema/nave/tower/sacristy/corner/chancel/amen/chapel/apsis/side/narthex/presbytery/side_chapel/lady_chapel/church_tower/rood_screen/amen_corner
comb	teeth/shaft/grip/tooth/handle
