ID	Similarity_User_Ratings	Google_Sense_Desc	Twitter_Sense_Desc	Google_Sense_Label	Twitter_Sense_Label	Google_Sense_Def	Twitter_Sense_Def	Google_Sense_All	Twitter_Sense_All
199	4.00	0.84	0.89	0.94	0.92	1.00	1.00	1.00	1.00
66	3.95	0.78	0.77	0.84	0.84	0.94	0.95	0.95	0.96
483	3.90	0.58	0.65	0.94	0.95	0.99	0.99	0.99	0.99
218	3.85	0.71	0.82	0.90	0.89	0.98	0.98	0.98	0.98
23	3.85	0.78	0.84	0.92	0.91	0.99	0.99	0.99	0.99
151	3.85	0.82	0.83	0.96	0.96	0.99	0.99	0.99	0.99
287	3.85	0.70	0.68	0.91	0.87	0.99	0.99	0.98	0.99
10	3.80	0.79	0.81	0.87	0.84	0.96	0.97	0.96	0.97
125	3.80	0.87	0.93	0.87	0.82	0.98	0.98	0.98	0.98
241	3.80	0.76	0.80	0.90	0.87	0.98	0.98	0.98	0.98
278	3.80	0.71	0.77	0.91	0.87	0.98	0.99	0.98	0.99
375	3.80	0.74	0.80	0.92	0.90	0.99	0.99	0.98	0.98
51	3.75	0.77	0.78	0.70	0.71	0.93	0.95	0.93	0.95
102	3.75	0.78	0.79	0.90	0.86	0.98	0.98	0.98	0.98
323	3.75	0.73	0.76	0.95	0.97	1.00	1.00	0.99	0.99
63	3.70	0.68	0.76	0.86	0.84	0.98	0.98	0.98	0.98
120	3.70	0.74	0.78	0.90	0.89	0.98	0.98	0.98	0.98
129	3.70	0.68	0.75	0.89	0.85	0.98	0.98	0.98	0.98
130	3.70	0.87	0.90	0.92	0.85	0.97	0.97	0.97	0.98
132	3.70	0.80	0.78	0.90	0.88	0.98	0.98	0.98	0.98
148	3.70	0.77	0.82	0.91	0.90	0.97	0.97	0.97	0.97
155	3.70	0.84	0.85	0.86	0.80	0.98	0.97	0.98	0.98
179	3.70	0.80	0.83	0.88	0.82	0.97	0.97	0.97	0.97
195	3.70	0.82	0.84	0.86	0.82	0.98	0.98	0.98	0.98
