ISO 639-2 Code	ISO 639-1 Code	English name of Language	French name of Language	German name of Language
aar	aa	Afar	afar	Danakil-Sprache
abk	ab	Abkhazian	abkhaze	Abchasisch
ace		Achinese	aceh	Aceh-Sprache
ach		Acoli	acoli	Acholi-Sprache
ada		Adangme	adangme	Adangme-Sprache
ady		Adyghe; Adygei	adyghé	Adygisch
afa		Afro-Asiatic languages	afro-asiatiques, langues	Hamitosemitische Sprachen (Andere)
afh		Afrihili	afrihili	Afrihili
afr	af	Afrikaans	afrikaans	Afrikaans
ain		Ainu	aïnou	Ainu-Sprache
aka	ak	Akan	akan	Akan-Sprache
akk		Akkadian	akkadien	Akkadisch
alb (B),sqi (T)	sq	Albanian	albanais	Albanisch
ale		Aleut	aléoute	Aleutisch
alg		Algonquian languages	algonquines, langues	Algonkin-Sprachen (Andere)
alt		Southern Altai	altai du Sud	Altaisch
amh	am	Amharic	amharique	Amharisch
ang		English, Old (ca.450-1100)	anglo-saxon (ca.450-1100)	Altenglisch
anp		Angika	angika	Anga-Sprache
apa		Apache languages	apaches, langues	Apachen-Sprachen
ara	ar	Arabic	arabe	Arabisch
arc		Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)	araméen d'empire (700-300 BCE)	Aramäisch
arg	an	Aragonese	aragonais	Aragonesisch
arm (B),hye (T)	hy	Armenian	arménien	Armenisch
arn		Mapudungun; Mapuche	mapudungun; mapuche; mapuce	Arauka-Sprachen
arp		Arapaho	arapaho	Arapaho-Sprache
art		Artificial languages	artificielles, langues	Kunstsprachen (Andere)
arw		Arawak	arawak	Arawak-Sprachen
asm	as	Assamese	assamais	Assamesisch
ast		Asturian; Bable; Leonese; Asturleonese	asturien; bable; léonais; asturoléonais	Asturisch
ath		Athapascan languages	athapascanes, langues	Athapaskische Sprachen (Andere)
aus		Australian languages	australiennes, langues	Australische Sprachen
ava	av	Avaric	avar	Awarisch
ave	ae	Avestan	avestique	Avestisch
awa		Awadhi	awadhi	Awadhi
aym	ay	Aymara	aymara	Aymará-Sprache
aze	az	Azerbaijani	azéri	Aserbeidschanisch
bad		Banda languages	banda, langues	Banda-Sprachen (Ubangi-Sprachen)
bai		Bamileke languages	bamiléké, langues	Bamileke-Sprachen
bak	ba	Bashkir	bachkir	Baschkirisch
bal		Baluchi	baloutchi	Belutschisch
bam	bm	Bambara	bambara	Bambara-Sprache
ban		Balinese	balinais	Balinesisch
baq (B),eus (T)	eu	Basque	basque	Baskisch
bas		Basa	basa	Basaa-Sprache
bat		Baltic languages	baltes, langues	Baltische Sprachen (Andere)
bej		Beja; Bedawiyet	bedja	Bedauye
bel	be	Belarusian	biélorusse	Weißrussisch
bem		Bemba	bemba	Bemba-Sprache
ben	bn	Bengali	bengali	Bengali
ber		Berber languages	berbères, langues	Berbersprachen (Andere)
bho		Bhojpuri	bhojpuri	Bhojpuri
bih	bh	Bihari languages	langues biharis	Bihari (Andere)
bik		Bikol	bikol	Bikol-Sprache
bin		Bini; Edo	bini; edo	Edo-Sprache
bis	bi	Bislama	bichlamar	Beach-la-mar
bla		Siksika	blackfoot	Blackfoot-Sprache
bnt		Bantu languages	bantou, langues	Bantusprachen (Andere)
tib (B),bod (T)	bo	Tibetan	tibétain	Tibetisch
bos	bs	Bosnian	bosniaque	Bosnisch
bra		Braj	braj	Braj-Bhakha
bre	br	Breton	breton	Bretonisch
btk		Batak languages	batak, langues	Batak-Sprache
bua		Buriat	bouriate	Burjatisch
bug		Buginese	bugi	Bugi-Sprache
bul	bg	Bulgarian	bulgare	Bulgarisch
bur (B),mya (T)	my	Burmese	birman	Birmanisch
byn		Blin; Bilin	blin; bilen	Bilin-Sprache
cad		Caddo	caddo	Caddo-Sprachen
cai		Central American Indian languages	amérindiennes de l'Amérique centrale,  langues	Indianersprachen, Zentralamerika (Andere)
car		Galibi Carib	karib; galibi; carib	Karibische Sprachen
cat	ca	Catalan; Valencian	catalan; valencien	Katalanisch
cau		Caucasian languages	caucasiennes, langues	Kaukasische Sprachen (Andere)
ceb		Cebuano	cebuano	Cebuano
cel		Celtic languages	celtiques, langues; celtes, langues	Keltische Sprachen (Andere)
cze (B),ces (T)	cs	Czech	tchèque	Tschechisch
cha	ch	Chamorro	chamorro	Chamorro-Sprache
chb		Chibcha	chibcha	Chibcha-Sprachen
che	ce	Chechen	tchétchène	Tschetschenisch
chg		Chagatai	djaghataï	Tschagataisch
chi (B),zho (T)	zh	Chinese	chinois	Chinesisch
chk		Chuukese	chuuk	Trukesisch
chm		Mari	mari	Tscheremissisch
chn		Chinook jargon	chinook, jargon	Chinook-Jargon
cho		Choctaw	choctaw	Choctaw-Sprache
chp		Chipewyan; Dene Suline	chipewyan	Chipewyan-Sprache
chr		Cherokee	cherokee	Cherokee-Sprache
chu	cu	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	slavon d'église; vieux slave; slavon liturgique; vieux bulgare	Kirchenslawisch
chv	cv	Chuvash	tchouvache	Tschuwaschisch
chy		Cheyenne	cheyenne	Cheyenne-Sprache
cmc		Chamic languages	chames, langues	Cham-Sprachen
cop		Coptic	copte	Koptisch
cor	kw	Cornish	cornique	Kornisch
cos	co	Corsican	corse	Korsisch
cpe		Creoles and pidgins, English based	créoles et pidgins basés sur l'anglais	Kreolisch-Englisch (Andere)
cpf		Creoles and pidgins, French-based	créoles et pidgins basés sur le français	Kreolisch-Französisch (Andere)
cpp		Creoles and pidgins, Portuguese-based	créoles et pidgins basés sur le portugais	Kreolisch-Portugiesisch (Andere)
cre	cr	Cree	cree	Cree-Sprache
crh		Crimean Tatar; Crimean Turkish	tatar de Crimé	Krimtatarisch
crp		Creoles and pidgins	créoles et pidgins	Kreolische Sprachen; Pidginsprachen (Andere)
csb		Kashubian	kachoube	Kaschubisch
cus		Cushitic languages	couchitiques,  langues	Kuschitische Sprachen (Andere)
wel (B),cym (T)	cy	Welsh	gallois	Kymrisch
cze (B),ces (T)	cs	Czech	tchèque	Tschechisch
dak		Dakota	dakota	Dakota-Sprache
dan	da	Danish	danois	Dänisch
dar		Dargwa	dargwa	Darginisch
day		Land Dayak languages	dayak, langues	Dajakisch
del		Delaware	delaware	Delaware-Sprache
den		Slave (Athapascan)	esclave (athapascan)	Slave-Sprache
ger (B),deu (T)	de	German	allemand	Deutsch
dgr		Dogrib	dogrib	Dogrib-Sprache
din		Dinka	dinka	Dinka-Sprache
div	dv	Divehi; Dhivehi; Maldivian	maldivien	Maledivisch
doi		Dogri	dogri	Dogri
dra		Dravidian languages	dravidiennes,  langues	Drawidische Sprachen (Andere)
dsb		Lower Sorbian	bas-sorabe	Niedersorbisch
dua		Duala	douala	Duala-Sprachen
dum		Dutch, Middle (ca.1050-1350)	néerlandais moyen (ca. 1050-1350)	Mittelniederländisch
dut (B),nld (T)	nl	Dutch; Flemish	néerlandais; flamand	Niederländisch
