word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あやしい,疑わしい,7.8,6,8,7,10,8,8,8,8,9,8,adjective,yes,dict,dict,no
あやしい,怪しい,9.6,10,10,10,10,8,10,10,10,10,10,adjective,yes,dict,dict,no
あやしそう,怪しそう,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,conj,conj_classic,yes
いい加減だ,荒っぽい,5.2,6,6,10,2,2,2,5,8,7,7,adjective,yes,dict,dict,yes
いぶかしげ,怪しそう,7.8,8,9,8,6,8,9,7,8,8,8,adjective,yes,conj,conj,yes
いぶかしげ,あやしそう,8.4,8,9,9,8,8,9,7,8,8,9,adjective,yes,conj,conj,yes
うっとうしい,気持ち悪い,5.4,5,8,7,5,2,4,3,5,6,3,adjective,no,dict,dict,n/a
うっとうしい,邪魔くさい,8.4,8,9,9,8,8,9,7,7,9,9,adjective,yes,dict,dict,no
うっとうしい,面倒くさい,8.4,8,9,8,10,7,8,6,6,7,7,adjective,yes,dict,dict,no
うっとうしい,わずらわしい,8.8,8,9,9,10,8,9,8,7,8,9,adjective,yes,dict,dict,no
うっとうしくて,うるさくて,7,8,5,9,5,8,3,3,4,7,9,adjective,yes,conj,conj,yes
うとましい,うっとうしい,8,8,10,10,3,9,9,4,9,8,2,adjective,yes,dict,dict,no
うとましい,煩わしい,7.6,7,8,7,8,8,9,5,7,8,1,adjective,yes,dict,dict,no
うとましい,わずらわしい,8.2,8,9,8,8,8,9,5,7,8,1,adjective,yes,dict,dict,no
うるさい,激しい,5.4,6,9,6,4,2,3,5,6,7,7,adjective,yes,dict,dict,no
うれしい,いい,5.8,8,7,4,4,6,7,3,5,8,8,adjective,yes,dict,dict,no
うれしい,良い,6.2,6,6,8,5,6,7,3,5,8,8,adjective,yes,dict,dict,no
うれしい,素晴らしい,6,7,6,5,5,7,6,3,4,7,7,adjective,yes,dict,dict,no
うれしい,嬉しい,9.8,10,10,9,10,10,10,10,10,10,10,adjective,yes,dict,dict,no
うれしい,好ましい,6,6,9,9,3,3,5,7,7,6,5,adjective,yes,dict,dict,no
おかしい,おもしろおかしい,7.4,8,6,8,6,9,6,3,5,8,6,adjective,no,dict,dict,n/a
おかしい,尋常ではない,6.8,3,8,6,9,8,7,8,6,6,5,adjective,yes,dict,dict,no
おとなしい,慎ましやかな,6,6,7,6,4,7,4,7,6,6,6,adjective,yes,dict,conj,yes
おどろおどろしい,ものすごい,4.6,1,5,3,5,9,4,2,6,1,2,adjective,yes,dict,dict,no
おどろおどろしい,恐ろしい,6.8,5,7,5,8,9,9,4,5,8,9,adjective,yes,dict,dict,no
おどろおどろしい,すさまじい,5.2,7,8,0,7,4,7,2,7,2,5,adjective,yes,dict,dict,no
おもしろおかしい,面白い,7.8,9,8,6,7,9,9,6,6,9,10,adjective,no,dict,dict,n/a
かぐわしい,香ばしい,8.2,8,5,10,10,8,9,6,7,7,9,adjective,yes,dict,dict,no
かぐわしい,芳しい,9.6,10,8,10,10,10,10,7,6,10,9,adjective,yes,dict,dict,no
かすかな,消え入りそうな,7.6,8,8,9,9,4,7,7,5,3,7,adjective,no,dict,conj,n/a
かっこわるかった,意気地なしだった,6.6,8,9,6,4,6,8,2,3,0,2,adjective,no,conj,conj,n/a
かっこわるかった,根性なしだった,5.8,5,6,10,5,3,4,3,6,7,6,adjective,no,conj,conj,n/a
かっこわるかった,いくじなかった,5.6,5,6,9,5,3,4,3,6,9,6,adjective,no,conj,conj,n/a
かなしい,悲しい,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,dict,dict,no
かなしい,寂しい,7.4,5,9,8,7,8,6,5,6,8,8,adjective,yes,dict,dict,no
か弱い,細い,4.6,2,5,5,4,7,7,1,5,7,6,adjective,yes,dict,dict,no
か弱い,弱い,8.4,9,6,9,10,8,7,5,8,8,10,adjective,yes,dict,dict,no
か弱い,小さい,6.6,7,9,7,7,3,3,5,7,5,5,adjective,yes,dict,dict,no
か細い,力ない,6.8,7,8,7,4,8,9,4,7,8,7,adjective_phrase,no,dict,dict,n/a
か細い,乏しい,6,6,8,7,2,7,7,1,2,5,0,adjective,yes,dict,dict,no
か細い,弱々しい,8.2,7,8,9,9,8,8,6,9,7,8,adjective,yes,dict,dict,no
か細い,か弱い,8,8,8,7,10,7,8,4,7,7,9,adjective,yes,dict,dict,no
か細い,弱弱しい,8,7,8,7,10,8,8,6,9,7,9,adjective,yes,dict,dict,no
か細い,弱い,7.4,6,8,7,8,8,6,5,8,8,7,adjective,yes,dict,dict,no
か細い,小さい,6.6,6,8,5,8,6,4,5,7,6,5,adjective,yes,dict,dict,no
か細い,細い,8.8,7,10,9,9,9,6,7,10,5,3,adjective,yes,dict,dict,no
か細い,細かい,5.4,6,8,3,8,2,3,3,6,6,2,adjective,yes,dict,dict,no
きつい,苦しい,7.2,9,8,5,6,8,8,6,7,8,7,adjective,yes,dict,dict,no
きつい,厳しい,7.8,9,8,5,9,8,8,4,7,8,6,adjective,yes,dict,dict,no
きつい,難しい,7.4,6,8,9,8,6,5,5,6,5,6,adjective,yes,dict,dict,no
きつかった,つらかった,9,9,9,10,9,8,9,7,6,8,7,adjective,yes,conj,conj,no
きつかった,厳しかった,8,9,8,8,7,8,8,4,6,7,6,adjective,yes,conj,conj,no
きつかった,辛かった,9,9,9,9,10,8,9,7,7,8,7,adjective,yes,conj,conj,no
きつきつな,狭い,6.8,4,8,6,8,8,8,7,3,8,8,adjective,no,dict,dict,n/a
くやしい,不甲斐ない,6.4,6,6,10,4,6,6,5,2,6,7,adjective,yes,dict,dict,no
くやしい,情けない,7,6,9,8,6,6,8,5,4,6,7,adjective,yes,dict,dict,no
けたたましい,凄い,4.8,6,6,2,3,7,8,5,3,6,8,adjective,yes,dict,dict,no
