word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
よく,しばしば,8.2,10,7,9,9,6,10,1,7,8,7,adverb,yes,conj_adj,,no
よく,頻繁に,7.8,8,7,6,9,9,7,7,9,7,7,adverb,yes,conj_adj,,yes
よろしく,どうか,5.2,6,6,9,0,5,8,0,2,3,6,adverb,no,conj_adj,,n/a
まさしく,明らかに,7.2,7,7,8,8,6,9,8,6,6,5,adverb,yes,conj_adj,,yes
現に,事実上,7.2,5,8,9,8,6,9,9,6,6,5,adverb,yes,,not_clear,no
あいにく,生憎,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
あからさまに,さも,5,5,2,1,9,8,6,5,2,5,6,adverb,yes,,,yes
あたかも,いわば,3.4,4,3,0,7,3,7,5,8,0,3,adverb,yes,,,yes
あたかも,まさしく,3.8,8,6,5,0,0,6,8,4,0,6,adverb,yes,,,no
あたかも,まことに,3.2,5,7,0,4,0,7,6,0,5,1,adverb,yes,,,no
あまり,そんなには,8,8,9,8,9,6,9,9,7,6,6,adverb,no,,,n/a
あまり,そんなにも,5.8,5,7,6,6,5,3,8,9,5,6,adverb,no,,,n/a
あまり,さほど,7,7,4,7,9,8,6,8,7,9,7,adverb,yes,,,no
あまり,たいして,8.2,10,8,8,8,7,8,9,7,9,5,adverb,yes,,,no
あまり,それほど,7.2,7,6,7,8,8,5,7,9,6,7,adverb,yes,,,no
あらかた,トータル的に,6.6,4,8,8,7,6,3,5,7,0,7,adverb,no,,,n/a
あらかた,概ね,8.8,8,8,9,9,10,7,7,9,8,6,adverb,no,,,n/a
ありのまま,全て,4.4,8,5,5,4,0,5,7,3,9,7,adverb,yes,,,no
ありのまま,丸々,5.4,8,5,7,7,0,5,8,4,6,6,adverb,yes,,,no
ありのまま,丸ごと,7,6,6,6,8,9,3,7,8,5,2,adverb,yes,,,no
いかにも,やはり,4,6,5,6,3,0,6,7,4,0,7,adverb,yes,,,no
いかにも,正しく,3,6,4,2,3,0,2,3,7,0,5,adverb,yes,,,yes
いかにも,すっかり,3.8,5,7,3,4,0,6,5,3,0,5,adverb,yes,,,no
いかにも,さも,7.6,8,6,7,9,8,6,8,7,8,5,adverb,yes,,,no
いかにも,実に,4.2,6,6,2,7,0,5,6,6,5,5,adverb,yes,,,no
