word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
アクセントになる,目立つ,8,6,9,10,8,7,8,5,5,3,5,verb_phrase,no,dict,dict,n/a
アクセントになる,引き立つ,7.8,7,7,8,8,9,9,5,7,3,4,verb_phrase,no,dict,dict,n/a
アクセントになる,良く見える,6.8,6,8,9,5,6,9,5,6,3,4,verb_phrase,no,dict,dict,n/a
あげる,表す,1.6,2,1,0,2,3,2,2,5,0,0,verb,yes,dict,dict,no
あしらう,飾る,5.2,6,2,9,8,1,8,1,5,7,9,verb,yes,dict,dict,no
あしらった,配置された,5.4,7,7,5,0,8,5,1,7,2,1,verb,no,conj,conj,n/a
あしらった,使用した,5.8,7,7,8,0,7,7,5,6,1,0,verb,no,conj,conj,n/a
あしらってある,飾ってある,7.2,7,7,7,8,7,9,5,8,9,4,verb,no,conj,conj,n/a
あしらってる,ついている,3.6,6,1,4,6,1,7,1,5,0,8,verb,no,conj,conj,n/a
あふれた,満ち溢れた,7.4,5,7,7,9,9,10,7,8,9,5,verb,no,conj,conj,n/a
あふれる,する,0,0,0,0,0,0,3,2,0,0,0,verb,yes,dict,dict,no
あふれる,富んだ,8.4,9,8,7,10,8,10,8,8,8,4,verb,yes,dict,conj,yes
あらわになった,出現した,6.4,5,8,5,7,7,9,4,8,5,5,verb_phrase,no,conj,conj,n/a
あらわになった,さらされた,7.8,8,7,10,7,7,9,3,8,9,0,verb_phrase,no,conj,conj,n/a
あらわになった,露出した,8.2,9,7,10,7,8,10,5,9,9,5,verb_phrase,no,conj,conj,n/a
あらわになった,発覚した,8.6,9,8,10,8,8,6,8,9,9,6,verb_phrase,no,conj,conj,n/a
あらわになった,表面化した,8.8,8,9,10,9,8,8,8,9,8,6,verb_phrase,no,conj,conj,n/a
あらわになった,露呈した,9.4,9,10,10,10,8,10,8,9,9,8,verb_phrase,no,conj,conj,n/a
あらわになった,持ち上がった,3.4,3,2,3,2,7,7,1,6,0,5,verb_phrase,no,conj,conj,n/a
あらわになった,上がった,2.8,3,3,2,1,5,6,4,4,0,4,verb_phrase,no,conj,conj,n/a
あらわになる,露呈する,8.6,8,9,9,9,8,9,5,7,5,10,verb_phrase,no,dict,dict,n/a
ある,隠している,1,0,0,3,0,2,1,1,2,0,1,verb,no,dict,conj,n/a
いかつくする,険しくする,7.2,7,6,10,7,6,9,4,6,3,0,verb_phrase,no,dict,dict,n/a
いかつくする,怖くする,7.8,8,8,9,7,7,9,5,6,5,6,verb_phrase,no,dict,dict,n/a
いかつくする,恐ろしくする,7.8,8,8,9,7,7,9,4,5,5,7,verb_phrase,no,dict,dict,n/a
いかつくする,厳つくする,10,10,10,10,10,10,10,10,10,10,10,verb_phrase,no,dict,dict,n/a
いかつくする,厳しくする,5.6,6,8,7,4,3,4,2,5,7,5,verb_phrase,no,dict,dict,n/a
いためた,病んだ,5,5,5,4,5,6,5,4,6,4,3,verb,yes,conj,conj,yes
いっしょにした,添えた,7.4,6,8,10,5,8,8,5,7,5,7,verb_phrase,no,conj,conj,n/a
いつもいる,駐留する,7,9,8,7,4,7,9,6,8,7,6,verb_phrase,no,dict,dict,n/a
いつもそこに居る,常駐する,8.6,10,9,9,7,8,10,7,9,9,8,verb_phrase,no,dict,dict,n/a
いない,永眠した,6.2,6,8,7,7,3,7,3,3,1,4,verb,no,conj,conj,n/a
いない,死去した,6.4,6,8,8,7,3,7,3,3,1,4,verb,no,conj,conj,n/a
いない,亡くなった,7.2,6,9,9,7,5,7,3,3,1,4,verb,yes,conj,conj,yes
いない,逝った,7.2,6,9,10,7,4,7,3,3,1,4,verb,yes,conj,conj,yes
いない,亡くした,6.2,6,8,7,7,3,7,3,3,1,4,verb,yes,conj,conj,yes
いなくした,出した,0.6,0,0,3,0,0,7,3,7,0,1,verb_phrase,no,conj,conj,n/a
いなくなる,無くなる,6.6,7,5,9,6,6,9,5,8,8,3,verb_phrase,no,dict,dict,n/a
うかがう,お聞きした,7.6,9,8,6,7,8,10,3,8,9,8,verb,no,dict,conj,n/a
うかがう,様子見した,6,4,7,6,6,7,9,5,6,8,8,verb,no,dict,conj,n/a
うかがう,見つける,2.6,0,4,5,2,2,5,1,2,0,0,verb,yes,dict,dict,no
