word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あっけなく,たやすく,7.2,6,8,6,8,8,7,6,7,9,8,adjective,yes,conj_adv,conj_adv,yes
あやし,怪し,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,conj,conj_classic,yes
あやしい,疑わしい,7.8,6,8,7,10,8,8,8,8,9,8,adjective,yes,dict,dict,no
あやしい,怪しい,9.6,10,10,10,10,8,10,10,10,10,10,adjective,yes,dict,dict,no
あやしく,疑わしく,8,8,9,8,7,8,9,8,7,9,8,adjective,yes,conj_adv,conj_adv,yes
あやしく,怪しく,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,conj_adv,conj_adv,yes
いい,荒々しく,5.8,5,8,8,2,6,0,4,2,3,6,adjective,yes,dict,conj_adv,yes
いい加減,荒っぽい,5.2,6,6,10,2,2,2,5,8,7,7,adjective,yes,dict,dict,yes
いぶかしく,怪しく,8,7,9,9,7,8,9,7,7,8,8,adjective,yes,conj_adv,conj_adv,yes
いぶかしく,疑わしく,8.2,8,9,9,7,8,9,8,8,8,9,adjective,yes,conj_adv,conj_adv,yes
いぶかしげ,怪し,7.8,8,9,8,6,8,9,7,8,8,8,adjective,yes,conj,conj,yes
いぶかしげ,あやし,8.4,8,9,9,8,8,9,7,8,8,9,adjective,yes,conj,conj,yes
うっとうしい,邪魔くさい,8.4,8,9,9,8,8,9,7,7,9,9,adjective,yes,dict,dict,no
うっとうしい,面倒くさい,8.4,8,9,8,10,7,8,6,6,7,7,adjective,yes,dict,dict,no
うっとうしい,わずらわしい,8.8,8,9,9,10,8,9,8,7,8,9,adjective,yes,dict,dict,no
うっとうしく,うるさく,7,8,5,9,5,8,3,3,4,7,9,adjective,yes,conj_adv,conj_adv,yes
うっとうしく,わずらわしく,7.6,8,7,9,7,7,6,8,7,9,8,adjective,yes,conj_adv,conj_adv,yes
うとましい,うっとうしい,8,8,10,10,3,9,9,4,9,8,2,adjective,yes,dict,dict,no
うとましい,煩わしい,7.6,7,8,7,8,8,9,5,7,8,1,adjective,yes,dict,dict,no
