word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あいにく,生憎,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
あからさま,さも,5,5,2,1,9,8,6,5,2,5,6,adverb,yes,,,yes
あたかも,いわ,3.4,4,3,0,7,3,7,5,8,0,3,adverb,yes,,,yes
あたかも,まさしく,3.8,8,6,5,0,0,6,8,4,0,6,adverb,yes,,,no
あたかも,まことに,3.2,5,7,0,4,0,7,6,0,5,1,adverb,yes,,,no
あまり,さほど,7,7,4,7,9,8,6,8,7,9,7,adverb,yes,,,no
あまり,たいして,8.2,10,8,8,8,7,8,9,7,9,5,adverb,yes,,,no
あまり,それほど,7.2,7,6,7,8,8,5,7,9,6,7,adverb,yes,,,no
ありのまま,全て,4.4,8,5,5,4,0,5,7,3,9,7,adverb,yes,,,no
ありのまま,丸々,5.4,8,5,7,7,0,5,8,4,6,6,adverb,yes,,,no
ありのまま,丸ごと,7,6,6,6,8,9,3,7,8,5,2,adverb,yes,,,no
いかにも,やはり,4,6,5,6,3,0,6,7,4,0,7,adverb,yes,,,no
いかにも,正しく,3,6,4,2,3,0,2,3,7,0,5,adverb,yes,,conj_adj,yes
いかにも,すっかり,3.8,5,7,3,4,0,6,5,3,0,5,adverb,yes,,,no
いかにも,さも,7.6,8,6,7,9,8,6,8,7,8,5,adverb,yes,,,no
いかにも,実に,4.2,6,6,2,7,0,5,6,6,5,5,adverb,yes,,,no
いかにも,まさに,7.2,9,8,9,4,6,4,8,6,3,5,adverb,yes,,,no
いかにも,まったく,4.8,8,0,7,5,4,2,0,3,1,5,adverb,yes,,,no
いかにも,あたかも,5.4,0,8,3,8,8,8,6,9,7,2,adverb,yes,,,no
いかにも,まさしく,8.2,10,8,5,9,9,8,6,8,7,6,adverb,yes,,conj_adj,no
いかにも,まことに,5.6,5,3,3,9,8,5,6,0,7,7,adverb,yes,,,no
いかにも,明らか,7,7,6,9,7,6,5,9,6,2,5,adverb,yes,,,yes
いかにも,あからさま,5.6,8,3,8,5,4,7,1,2,7,3,adverb,yes,,,yes
いささか,結構,4,3,5,5,7,0,3,7,6,9,3,adverb,yes,,,no
いささか,若干,5.6,3,6,7,8,4,9,6,7,9,6,adverb,yes,,,no
いささか,なかなか,2.2,2,0,3,1,5,5,4,3,2,6,adverb,yes,,,no
いささか,ちょっと,7.6,6,8,8,9,7,7,6,8,8,5,adverb,yes,,,no
いささか,まあまあ,3.4,2,5,5,4,1,4,6,7,3,5,adverb,yes,,,no
いささか,いくばく,6.8,4,8,8,8,6,7,9,6,8,5,adverb,yes,,,yes
いっせいに,大量,5.4,6,6,2,8,5,2,5,6,2,6,adverb,yes,,,yes
いっせいに,盛大,5.8,7,6,3,6,7,7,7,2,2,6,adverb,yes,,,yes
いっそう,一層,10,10,10,10,10,10,10,10,10,10,9,adverb,yes,,,no
いっそう,一段と,7.6,6,9,5,9,9,8,6,9,7,7,adverb,yes,,,no
いっぱい,多数,8.4,10,9,8,8,7,8,8,7,8,7,adverb,yes,,,no
いっぱい,いっせいに,3,5,0,0,5,5,3,0,7,4,5,adverb,yes,,,no
いっぱい,盛大,8.2,10,7,8,9,7,5,7,4,5,6,adverb,yes,,,yes
いっぱい,窮屈,6.6,9,7,8,7,2,8,8,3,3,1,adverb,yes,,,yes
いっぱい,大量,8,9,8,5,9,9,7,8,9,8,7,adverb,yes,,,yes
いっぱい,たくさん,8.8,10,9,8,10,7,9,9,7,9,8,adverb,yes,,,yes
いっぱい,ずらりと,7.4,9,5,8,8,7,4,7,6,6,3,adverb,yes,,,yes
いっぱい,ぎっしり,8.2,8,8,7,9,9,8,8,9,8,9,adverb,yes,,,yes
いっぱい,ぎゅうぎゅう,7.6,6,7,6,9,10,6,7,9,8,7,adverb,yes,,,yes
いっぱい,びっしり,8.2,7,8,8,9,9,6,7,9,8,7,adverb,yes,,,yes
いっぱい,ぎっしり,7.4,7,6,7,8,9,6,7,9,8,6,adverb,yes,,,yes
いっぱい,びっしり,7.2,7,7,4,9,9,6,8,7,8,6,adverb,yes,,,yes
いまや,もはや,7.2,8,6,7,8,7,5,4,7,8,3,adverb,yes,,,no
いまや,よもや,3.6,4,0,7,0,7,7,0,8,0,1,adverb,yes,,,no
おおむね,概して,8.8,10,10,9,10,5,8,9,9,9,5,adverb,yes,,,no
おおむね,全般的,7.6,8,5,8,9,8,6,8,8,9,8,adverb,yes,,,yes
かすか,少々,6.4,6,5,6,7,8,6,7,4,8,5,adverb,yes,,,yes
かすか,いささか,3.8,0,5,7,4,3,9,7,3,7,7,adverb,yes,,,yes
かすか,多少,4.4,2,4,7,3,6,8,6,6,8,3,adverb,yes,,,yes
