word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あげる,表す,1.6,2,1,0,2,3,2,2,5,0,0,verb,yes,dict,dict,no
あしらう,飾る,5.2,6,2,9,8,1,8,1,5,7,9,verb,yes,dict,dict,no
あふれる,する,0.0,0,0,0,0,0,3,2,0,0,0,verb,yes,dict,dict,no
あふれる,富ん,8.4,9,8,7,10,8,10,8,8,8,4,verb,yes,dict,conj,yes
いため,病ん,5.0,5,5,4,5,6,5,4,6,4,3,verb,yes,conj,conj,yes
いない,亡くなっ,7.2,6,9,9,7,5,7,3,3,1,4,verb,yes,conj,conj,yes
いない,逝っ,7.2,6,9,10,7,4,7,3,3,1,4,verb,yes,conj,conj,yes
いない,亡くし,6.2,6,8,7,7,3,7,3,3,1,4,verb,yes,conj,conj,yes
うかがう,見つける,2.6,0,4,5,2,2,5,1,2,0,0,verb,yes,dict,dict,no
うかがっ,のぞい,5.2,2,6,5,5,8,8,4,7,7,8,verb,yes,conj,conj,yes
うかがっ,受け,2.8,3,1,8,0,2,4,1,2,1,0,verb,yes,conj,conj,yes
うかがっ,聴い,8.2,8,6,10,8,9,8,5,6,5,8,verb,yes,conj,conj,yes
うつさ,貰っ,4.6,5,4,5,2,7,4,6,7,8,7,verb,yes,conj,conj,yes
うつさ,罹っ,7.6,6,9,9,6,8,6,5,7,7,4,verb,yes,conj,conj,yes
うつっ,罹っ,4.8,5,5,3,4,7,7,5,7,2,10,verb,yes,conj,conj,yes
うつる,罹る,8.2,6,10,9,8,8,8,5,4,7,4,verb,yes,dict,dict,no
うもれ,溺れ,3.8,1,2,5,7,4,4,3,7,1,3,verb,yes,conj,conj,yes
うもれ,はまっ,7.6,6,9,10,7,6,1,1,4,2,3,verb,yes,conj,conj,yes
うもれ,入っ,6.0,5,8,6,8,3,1,2,3,2,2,verb,yes,conj,conj,yes
おさめ,留め,5.8,5,9,8,3,4,1,5,4,3,2,verb,yes,conj,conj,yes
