word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あやしい,疑わしい,7.8,6,8,7,10,8,8,8,8,9,8,adjective,yes,dict,dict,no
あやしい,怪しい,9.6,10,10,10,10,8,10,10,10,10,10,adjective,yes,dict,dict,no
うっとうしい,邪魔くさい,8.4,8,9,9,8,8,9,7,7,9,9,adjective,yes,dict,dict,no
うっとうしい,面倒くさい,8.4,8,9,8,10,7,8,6,6,7,7,adjective,yes,dict,dict,no
うっとうしい,わずらわしい,8.8,8,9,9,10,8,9,8,7,8,9,adjective,yes,dict,dict,no
うとましい,うっとうしい,8,8,10,10,3,9,9,4,9,8,2,adjective,yes,dict,dict,no
うとましい,煩わしい,7.6,7,8,7,8,8,9,5,7,8,1,adjective,yes,dict,dict,no
うとましい,わずらわしい,8.2,8,9,8,8,8,9,5,7,8,1,adjective,yes,dict,dict,no
うるさい,激しい,5.4,6,9,6,4,2,3,5,6,7,7,adjective,yes,dict,dict,no
うれしい,いい,5.8,8,7,4,4,6,7,3,5,8,8,adjective,yes,dict,dict,no
うれしい,良い,6.2,6,6,8,5,6,7,3,5,8,8,adjective,yes,dict,dict,no
うれしい,素晴らしい,6,7,6,5,5,7,6,3,4,7,7,adjective,yes,dict,dict,no
うれしい,嬉しい,9.8,10,10,9,10,10,10,10,10,10,10,adjective,yes,dict,dict,no
うれしい,好ましい,6,6,9,9,3,3,5,7,7,6,5,adjective,yes,dict,dict,no
おかしい,尋常ではない,6.8,3,8,6,9,8,7,8,6,6,5,adjective,yes,dict,dict,no
おどろおどろしい,ものすごい,4.6,1,5,3,5,9,4,2,6,1,2,adjective,yes,dict,dict,no
おどろおどろしい,恐ろしい,6.8,5,7,5,8,9,9,4,5,8,9,adjective,yes,dict,dict,no
おどろおどろしい,すさまじい,5.2,7,8,0,7,4,7,2,7,2,5,adjective,yes,dict,dict,no
かぐわしい,香ばしい,8.2,8,5,10,10,8,9,6,7,7,9,adjective,yes,dict,dict,no
かぐわしい,芳しい,9.6,10,8,10,10,10,10,7,6,10,9,adjective,yes,dict,dict,no
かなしい,悲しい,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,dict,dict,no
かなしい,寂しい,7.4,5,9,8,7,8,6,5,6,8,8,adjective,yes,dict,dict,no
か弱い,細い,4.6,2,5,5,4,7,7,1,5,7,6,adjective,yes,dict,dict,no
か弱い,弱い,8.4,9,6,9,10,8,7,5,8,8,10,adjective,yes,dict,dict,no
か弱い,小さい,6.6,7,9,7,7,3,3,5,7,5,5,adjective,yes,dict,dict,no
か細い,乏しい,6,6,8,7,2,7,7,1,2,5,0,adjective,yes,dict,dict,no
か細い,弱々しい,8.2,7,8,9,9,8,8,6,9,7,8,adjective,yes,dict,dict,no
か細い,か弱い,8,8,8,7,10,7,8,4,7,7,9,adjective,yes,dict,dict,no
か細い,弱弱しい,8,7,8,7,10,8,8,6,9,7,9,adjective,yes,dict,dict,no
か細い,弱い,7.4,6,8,7,8,8,6,5,8,8,7,adjective,yes,dict,dict,no
か細い,小さい,6.6,6,8,5,8,6,4,5,7,6,5,adjective,yes,dict,dict,no
か細い,細い,8.8,7,10,9,9,9,6,7,10,5,3,adjective,yes,dict,dict,no
か細い,細かい,5.4,6,8,3,8,2,3,3,6,6,2,adjective,yes,dict,dict,no
きつい,苦しい,7.2,9,8,5,6,8,8,6,7,8,7,adjective,yes,dict,dict,no
きつい,厳しい,7.8,9,8,5,9,8,8,4,7,8,6,adjective,yes,dict,dict,no
きつい,難しい,7.4,6,8,9,8,6,5,5,6,5,6,adjective,yes,dict,dict,no
きつかった,つらかった,9,9,9,10,9,8,9,7,6,8,7,adjective,yes,conj,conj,no
きつかった,厳しかった,8,9,8,8,7,8,8,4,6,7,6,adjective,yes,conj,conj,no
きつかった,辛かった,9,9,9,9,10,8,9,7,7,8,7,adjective,yes,conj,conj,no
くやしい,不甲斐ない,6.4,6,6,10,4,6,6,5,2,6,7,adjective,yes,dict,dict,no
くやしい,情けない,7,6,9,8,6,6,8,5,4,6,7,adjective,yes,dict,dict,no
けたたましい,凄い,4.8,6,6,2,3,7,8,5,3,6,8,adjective,yes,dict,dict,no
けたたましい,すさまじい,7,7,8,10,3,7,8,4,6,7,8,adjective,yes,dict,dict,no
けたたましい,やかましい,8,6,8,8,10,8,8,5,7,8,9,adjective,yes,dict,dict,no
けたたましい,ものすごい,6.2,5,7,6,6,7,8,5,6,6,8,adjective,yes,dict,dict,no
けたたましい,物凄い,6.4,6,7,6,6,7,8,5,6,6,8,adjective,yes,dict,dict,no
けたたましい,うるさい,8.8,8,9,9,10,8,8,6,7,7,9,adjective,yes,dict,dict,no
けたたましい,騒がしい,8.8,8,9,9,10,8,9,4,7,6,9,adjective,yes,dict,dict,no
けたたましい,すごい,5.2,5,5,5,4,7,8,4,6,3,8,adjective,yes,dict,dict,no
けたたましい,騒々しい,8.8,9,9,9,9,8,8,6,7,7,10,adjective,yes,dict,dict,no
けたたましい,甲高い,6.8,8,8,8,2,8,6,2,3,0,6,adjective,yes,dict,dict,no
けたたましい,激しい,7.4,6,8,9,7,7,6,5,8,8,7,adjective,yes,dict,dict,no
さびしい,寂しい,10,10,10,10,10,10,10,10,10,10,10,adjective,yes,dict,dict,no
しょぼい,あっけない,6.8,7,5,10,5,7,7,4,3,8,0,adjective,yes,dict,dict,no
しんどい,難しい,5.4,5,6,2,8,6,7,3,4,5,1,adjective,yes,dict,dict,no
しんどい,つらい,7.6,7,9,5,9,8,9,8,8,8,10,adjective,yes,dict,dict,no
しんどい,苦しい,7.2,6,8,5,9,8,8,7,6,8,7,adjective,yes,dict,dict,no
しんどい,辛い,8,7,9,6,10,8,8,8,8,9,10,adjective,yes,dict,dict,no
しんどい,厳しい,5.8,4,6,3,8,8,8,3,6,8,4,adjective,yes,dict,dict,no
