word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あいにく,生憎,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
あたかも,まさしく,3.8,8,6,5,0,0,6,8,4,0,6,adverb,yes,,,no
あたかも,まことに,3.2,5,7,0,4,0,7,6,0,5,1,adverb,yes,,,no
あまり,さほど,7,7,4,7,9,8,6,8,7,9,7,adverb,yes,,,no
あまり,たいして,8.2,10,8,8,8,7,8,9,7,9,5,adverb,yes,,,no
あまり,それほど,7.2,7,6,7,8,8,5,7,9,6,7,adverb,yes,,,no
ありのまま,全て,4.4,8,5,5,4,0,5,7,3,9,7,adverb,yes,,,no
ありのまま,丸々,5.4,8,5,7,7,0,5,8,4,6,6,adverb,yes,,,no
ありのまま,丸ごと,7,6,6,6,8,9,3,7,8,5,2,adverb,yes,,,no
いかにも,やはり,4,6,5,6,3,0,6,7,4,0,7,adverb,yes,,,no
いかにも,すっかり,3.8,5,7,3,4,0,6,5,3,0,5,adverb,yes,,,no
いかにも,さも,7.6,8,6,7,9,8,6,8,7,8,5,adverb,yes,,,no
いかにも,実に,4.2,6,6,2,7,0,5,6,6,5,5,adverb,yes,,,no
いかにも,まさに,7.2,9,8,9,4,6,4,8,6,3,5,adverb,yes,,,no
いかにも,まったく,4.8,8,0,7,5,4,2,0,3,1,5,adverb,yes,,,no
いかにも,あたかも,5.4,0,8,3,8,8,8,6,9,7,2,adverb,yes,,,no
いかにも,まさしく,8.2,10,8,5,9,9,8,6,8,7,6,adverb,yes,,conj_adj,no
いかにも,まことに,5.6,5,3,3,9,8,5,6,0,7,7,adverb,yes,,,no
いささか,結構,4,3,5,5,7,0,3,7,6,9,3,adverb,yes,,,no
いささか,若干,5.6,3,6,7,8,4,9,6,7,9,6,adverb,yes,,,no
いささか,なかなか,2.2,2,0,3,1,5,5,4,3,2,6,adverb,yes,,,no
いささか,ちょっと,7.6,6,8,8,9,7,7,6,8,8,5,adverb,yes,,,no
いささか,まあまあ,3.4,2,5,5,4,1,4,6,7,3,5,adverb,yes,,,no
いっそう,一層,10,10,10,10,10,10,10,10,10,10,9,adverb,yes,,,no
いっそう,一段と,7.6,6,9,5,9,9,8,6,9,7,7,adverb,yes,,,no
いっぱい,多数,8.4,10,9,8,8,7,8,8,7,8,7,adverb,yes,,,no
いっぱい,いっせいに,3,5,0,0,5,5,3,0,7,4,5,adverb,yes,,,no
いまや,もはや,7.2,8,6,7,8,7,5,4,7,8,3,adverb,yes,,,no
いまや,よもや,3.6,4,0,7,0,7,7,0,8,0,1,adverb,yes,,,no
おおむね,概して,8.8,10,10,9,10,5,8,9,9,9,5,adverb,yes,,,no
かなり,まあまあ,2.2,3,5,3,0,0,7,6,5,0,5,adverb,yes,,,no
かなり,一段と,6.8,8,6,8,9,3,6,7,7,9,6,adverb,yes,,,no
かなり,少々,0.8,0,3,1,0,0,1,2,2,0,0,adverb,yes,,,no
かなり,いささか,2.4,7,0,1,0,4,1,0,3,1,1,adverb,yes,,,no
かなり,結構,8.6,10,8,8,10,7,9,9,7,8,6,adverb,yes,,,no
かなり,ぐんと,8,8,9,9,8,6,6,9,7,7,7,adverb,yes,,,no
かなり,少し,0.2,0,0,0,1,0,2,0,0,0,5,adverb,yes,,,no
かなり,いっそう,3.6,0,5,1,4,8,6,7,8,6,5,adverb,yes,,,no
かなり,ずっと,5.2,5,7,0,5,9,4,7,5,5,7,adverb,yes,,,no
ぎっしり,いっぱい,9,10,9,9,10,7,8,9,8,7,6,adverb,yes,,,no
ぎっしり,たくさん,9,10,9,9,9,8,7,9,6,3,5,adverb,yes,,,no
きっぱり,断固,6,8,5,8,9,0,8,8,7,9,7,adverb,yes,,,no
きっぱり,頑として,8.2,10,9,8,8,6,9,7,8,1,2,adverb,yes,,,no
きっぱり,断じて,8.2,8,9,8,10,6,9,9,7,8,5,adverb,yes,,,no
きっぱり,断然,7.2,2,10,9,8,7,10,9,7,5,5,adverb,yes,,,no
きっぱり,毅然と,7.6,8,8,3,9,10,7,8,9,7,7,adverb,yes,,,no
ぎりぎり,辛うじて,8.4,9,9,8,10,6,9,9,7,8,7,adverb,yes,,,no
ぎりぎり,なんとか,7.4,8,7,7,9,6,7,7,7,6,7,adverb,yes,,,no
ぎりぎり,辛くも,7.4,7,7,5,9,9,7,7,9,8,7,adverb,yes,,,no
ぐっと,一気に,5.6,5,3,7,8,5,7,7,7,8,5,adverb,yes,,,no
ぐっと,いっそう,4.6,3,4,8,8,0,6,6,7,9,5,adverb,yes,,,no
ぐっと,一段と,7.4,7,8,8,8,6,7,7,7,7,6,adverb,yes,,,no
ぐっと,ぐんと,8.2,10,9,9,7,6,8,0,9,8,6,adverb,yes,,,no
ぐっと,一層,7.6,9,9,7,7,6,9,9,7,6,5,adverb,yes,,,no
ぐっと,とても,5,2,6,0,9,8,3,5,8,7,5,adverb,yes,,,no
ぐんと,ずっと,5.2,7,5,7,7,0,5,7,3,0,5,adverb,yes,,,no
ぐんと,いっそう,4.6,7,6,5,5,0,6,8,6,7,5,adverb,yes,,,no
ぐんと,一気に,8.6,9,9,8,10,7,7,9,8,9,6,adverb,yes,,,no
ぐんと,一層,7.6,9,9,7,7,6,7,7,7,8,6,adverb,yes,,,no
ぐんと,随分,5,5,5,3,8,4,6,5,5,6,6,adverb,yes,,,no
ぐんと,一段と,7,6,7,5,8,9,7,5,9,7,6,adverb,yes,,,no
これぞ,正に,6.8,8,6,7,8,5,6,7,8,2,5,adverb,yes,,,no
これぞ,まさに,7,7,6,8,9,5,6,6,7,0,5,adverb,yes,,,no
これぞ,いかにも,4.6,3,7,0,9,4,6,6,0,7,7,adverb,yes,,,no
こんがり,しっかり,3.4,8,4,3,2,0,0,5,4,0,2,adverb,yes,,,no
さながら,あたかも,7.6,9,5,8,9,7,10,9,7,7,5,adverb,yes,,,no
さながら,まるで,7,9,8,2,7,9,7,5,9,9,7,adverb,yes,,,no
さほど,大して,8,10,9,7,8,6,9,9,7,7,5,adverb,yes,,,no
さも,まことに,3.8,7,5,4,3,0,4,5,6,0,4,adverb,yes,,,no
さも,実に,5.2,10,0,8,4,4,6,0,3,3,5,adverb,yes,,,no
さも,あたかも,8.4,9,7,8,8,10,8,5,8,5,5,adverb,yes,,,no
さらに,一段と,7.4,8,4,8,9,8,7,8,7,9,7,adverb,yes,,,no
さらに,一層,8.6,9,9,8,10,7,8,9,7,9,6,adverb,yes,,,no
さらに,ぐんと,6.4,5,6,6,7,8,7,3,8,0,5,adverb,yes,,,no
さらに,とても,4.8,0,6,1,8,9,4,8,8,0,3,adverb,yes,,,no
さらに,ずっと,2,2,1,0,5,2,2,5,0,0,4,adverb,yes,,,no
さらに,いっそう,8,7,9,6,9,9,7,8,9,8,8,adverb,yes,,,no
さらに,ぐっと,5.8,6,5,3,7,8,7,5,8,7,5,adverb,yes,,,no
しっかり,絶対,5.6,6,4,7,5,6,4,6,2,5,7,adverb,yes,,,no
しっかり,必ず,6.4,8,6,6,5,7,5,7,3,7,7,adverb,yes,,,no
しっかり,断然,6.2,5,8,7,5,6,8,7,6,2,5,adverb,yes,,,no
しっかり,断固,7.6,9,8,8,7,6,9,9,7,7,5,adverb,yes,,,no
しっかり,きっぱり,6.6,10,4,8,5,6,8,4,7,6,5,adverb,yes,,,no
しっかり,頑として,5.6,6,5,1,8,8,6,5,7,6,3,adverb,yes,,,no
しばしば,しょっちゅう,6.8,7,7,4,9,7,7,9,8,0,8,adverb,yes,,,no
しばしば,時折,5.4,8,6,5,8,0,8,8,3,9,5,adverb,yes,,,no
しばしば,まあまあ,6.2,7,7,6,6,5,6,7,3,5,7,adverb,yes,,,no
しばしば,度々,7.8,10,5,9,8,7,2,9,8,9,6,adverb,yes,,,no
しばしば,しきりに,4.2,3,0,9,7,2,0,0,8,7,6,adverb,yes,,,no
しばしば,かなり,6.8,9,8,8,7,2,9,0,6,7,7,adverb,yes,,,no
しばしば,結構,6.8,6,7,6,8,7,6,6,7,2,5,adverb,yes,,,no
しばしば,時として,3.8,2,7,2,2,6,7,7,0,3,7,adverb,yes,,,no
しばしば,時おり,4.2,2,7,3,3,6,6,7,9,3,7,adverb,yes,,,no
しょせん,結局,7.2,7,6,6,9,8,3,8,7,9,6,adverb,yes,,,no
しょせん,どだい,7.4,8,5,8,9,7,6,9,8,9,5,adverb,yes,,,no
しょせん,どうせ,8,7,7,7,9,10,6,3,9,8,7,adverb,yes,,,no
しょせん,所詮,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
しょっちゅう,結構,7,7,7,8,6,7,7,8,4,7,6,adverb,yes,,,no
しょっちゅう,かなり,7.4,6,7,7,8,9,7,8,6,3,4,adverb,yes,,,no
すっかり,さも,2.4,0,1,0,8,3,3,5,0,0,3,adverb,yes,,,no
ずっと,一段と,4.2,7,4,2,8,0,1,7,4,8,5,adverb,yes,,,no
ずっと,随分,6.8,5,9,9,7,4,6,5,3,7,5,adverb,yes,,,no
ずっと,いっそう,4.8,7,2,8,2,5,5,7,3,6,6,adverb,yes,,,no
ずっと,ぐっと,3,0,2,0,8,5,2,2,7,1,2,adverb,yes,,,no
すでに,今や,6.6,6,4,8,8,7,6,8,7,8,3,adverb,yes,,,no
すでに,既に,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
すでに,実際,3.8,6,6,1,0,6,8,7,6,1,1,adverb,yes,,,no
すでに,すっかり,5.4,7,0,8,7,5,6,0,6,6,7,adverb,yes,,,no
すでに,現に,5.6,8,8,1,4,7,9,7,7,2,1,adverb,yes,,,no
すでに,よもや,2.4,0,5,2,5,0,7,5,0,0,5,adverb,yes,,,no
すでに,いまや,7,5,7,6,8,9,7,6,8,4,6,adverb,yes,,,no
すべて,丸々,7.6,8,5,8,9,8,7,9,6,9,8,adverb,yes,,,no
すべて,丸ごと,9.2,10,9,9,10,8,9,9,6,9,8,adverb,yes,,,no
すべて,ありのまま,6.8,8,5,9,7,5,8,8,5,2,1,adverb,yes,,,no
すべて,全て,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
ずらり,びっしり,5.6,8,6,5,9,0,6,8,7,8,7,adverb,yes,,,no
ずらり,ぎっしり,7,10,7,9,2,7,4,8,5,6,6,adverb,yes,,,no
ずらりと,多数,5.8,7,3,5,7,7,6,8,7,8,7,adverb,yes,,,no
ずらりと,いっぱい,5,8,5,5,7,0,6,7,6,8,7,adverb,yes,,,no
ずらりと,いっせいに,6.2,6,6,1,9,9,3,3,5,3,4,adverb,yes,,,no
ずらりと,一斉に,7.2,6,6,6,9,9,3,5,8,3,6,adverb,yes,,,no
ずらりと,整然と,4.2,5,5,2,2,7,3,4,6,2,6,adverb,yes,,,no
ぜひとも,なんとか,6.4,7,8,2,9,6,7,9,6,9,5,adverb,yes,,,no
ぜひとも,何とか,4,7,5,0,8,0,5,6,4,6,7,adverb,yes,,,no
ぜひとも,何とぞ,8,8,7,6,9,10,3,7,9,8,8,adverb,yes,,,no
ぜんぜん,そんなに,4.2,7,5,7,0,2,0,8,7,0,6,adverb,yes,,,no
ぜんぜん,たいして,5.8,7,2,7,5,8,3,5,7,2,6,adverb,yes,,,no
ぜんぜん,さほど,7.4,6,9,8,7,7,3,4,6,1,6,adverb,yes,,,no
ぜんぶ,全部,10,10,10,10,10,10,10,10,10,10,10,adverb,yes,,,no
ぜんぶ,丸々,8.4,6,9,8,9,10,6,8,9,9,7,adverb,yes,,,no
そのまま,全て,4.6,6,4,8,5,0,8,5,3,7,5,adverb,yes,,,no
そのまま,丸ごと,5.4,8,2,8,9,0,7,8,6,9,8,adverb,yes,,,no
そのまま,全部,8.2,8,9,9,8,7,8,8,6,6,2,adverb,yes,,,no
そのまま,すべて,7.4,10,6,9,6,6,8,8,7,6,5,adverb,yes,,,no
そのまま,丸々,9,10,9,9,9,8,9,5,5,9,7,adverb,yes,,,no
そのまま,何もかも,2.8,2,0,1,5,6,4,3,3,4,2,adverb,yes,,,no
そのまま,ありのまま,6.6,7,7,1,9,9,6,8,9,8,8,adverb,yes,,,no
それほど,さほど,8.8,10,9,8,10,7,8,8,7,9,7,adverb,yes,,,no
それほど,大して,8,9,9,7,8,7,9,8,7,5,5,adverb,yes,,,no
それほど,そんなに,8.8,10,9,9,9,7,9,9,7,9,6,adverb,yes,,,no
それほど,ぜんぜん,5.8,7,1,8,6,7,2,8,7,3,6,adverb,yes,,,no
それほど,たいして,7,8,6,3,9,9,6,7,9,6,7,adverb,yes,,,no
そんなに,さほど,7.4,8,7,7,9,6,7,8,6,8,8,adverb,yes,,,no
そんなに,たいして,6.4,8,6,6,5,7,6,8,6,8,8,adverb,yes,,,no
そんなに,大して,7,6,7,8,8,6,7,8,7,9,6,adverb,yes,,,no
そんなに,あまり,8.4,9,9,8,9,7,8,9,7,7,5,adverb,yes,,,no
たいして,さほど,8.4,9,9,9,9,6,9,8,7,7,5,adverb,yes,,,no
たいして,大して,9.8,10,9,10,10,10,10,10,10,10,10,adverb,yes,,,no
だいたい,全部,4.8,7,5,0,5,7,2,8,7,0,6,adverb,yes,,,no
だいたい,全て,5.8,7,5,4,8,5,5,7,3,0,7,adverb,yes,,,no
だいたい,概ね,7.8,8,5,9,9,8,8,9,7,9,7,adverb,yes,,,no
だいたい,総じて,8.4,9,10,8,8,7,2,8,8,6,6,adverb,yes,,,no
だいたい,専ら,6.8,9,9,8,8,0,4,7,8,7,5,adverb,yes,,,no
だいたい,一般に,6.8,6,3,7,9,9,7,5,8,7,5,adverb,yes,,,no
だいたい,常に,3.8,2,8,4,5,0,7,8,0,2,7,adverb,yes,,,no
だいたい,主として,6.2,6,7,2,7,9,7,7,2,8,6,adverb,yes,,,no
だいぶ,とても,7.2,8,5,7,9,7,7,9,7,8,7,adverb,yes,,,no
だいぶ,かなり,8.4,10,9,7,9,7,7,9,7,7,7,adverb,yes,,,no
だいぶ,一段と,7.8,9,9,8,7,6,5,8,7,4,5,adverb,yes,,,no
だいぶ,ぐんと,7,7,8,8,6,6,4,3,7,7,6,adverb,yes,,,no
だいぶ,いっそう,4.4,0,8,0,7,7,7,5,7,4,2,adverb,yes,,,no
だいぶ,ずっと,4.8,5,6,0,5,8,3,5,5,5,3,adverb,yes,,,no
たくさん,いっぱい,8.6,8,7,9,10,9,9,9,8,8,8,adverb,yes,,,no
たくさん,いっせいに,3.2,6,4,1,5,0,1,7,3,7,6,adverb,yes,,,no
