word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,form1,form2,ambiguity
あげる,表す,1.6,2,1,0,2,3,2,2,5,0,0,verb,yes,dict,dict,no
あしらう,飾る,5.2,6,2,9,8,1,8,1,5,7,9,verb,yes,dict,dict,no
あふれる,する,0,0,0,0,0,0,3,2,0,0,0,verb,yes,dict,dict,no
うかがう,見つける,2.6,0,4,5,2,2,5,1,2,0,0,verb,yes,dict,dict,no
うつる,罹る,8.2,6,10,9,8,8,8,5,4,7,4,verb,yes,dict,dict,no
おわる,無くなる,6.6,5,8,10,7,3,8,7,3,3,5,verb,yes,dict,dict,no
おわる,消える,6.8,5,9,10,7,3,7,7,2,3,5,verb,yes,dict,dict,no
かたる,名乗る,7,5,8,7,10,5,9,9,8,2,7,verb,yes,dict,dict,no
ささくれる,荒れる,5.2,5,5,6,4,6,8,4,7,4,7,verb,yes,dict,dict,no
しける,荒れる,8.6,7,8,10,9,9,8,6,7,5,6,verb,yes,dict,dict,no
しめる,冷やす,2.6,0,1,3,3,6,2,1,7,4,1,verb,yes,dict,dict,no
しゃくにさわる,怒る,6.8,5,8,8,7,6,8,6,3,7,2,verb,yes,dict,dict,no
たどる,行く,5.6,5,9,5,6,3,1,5,3,3,1,verb,yes,dict,dict,no
なくなる,消える,7.2,4,8,9,8,7,10,6,9,9,8,verb,yes,dict,dict,no
なくなる,去る,6.2,7,8,5,4,7,10,5,8,9,7,verb,yes,dict,dict,no
なぞる,歩む,2.4,1,4,0,3,4,9,2,0,0,6,verb,yes,dict,dict,no
なぞる,追う,4.8,3,6,3,6,6,10,3,5,2,6,verb,yes,dict,dict,no
なぞる,探し求める,3.6,1,4,3,5,5,9,5,6,0,6,verb,yes,dict,dict,no
なぞる,行く,1.6,0,0,0,4,4,6,3,3,0,0,verb,yes,dict,dict,no
にじみ出る,浮かび上がる,6,5,6,7,4,8,9,4,8,6,6,verb,yes,dict,dict,no
