Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
old,new,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
smart,intelligent,10,10,9,10,10,10,9,10,10,10,10,10,9,9.77
hard,difficult,10,9,7,10,10,10,10,10,10,10,10,10,10,9.69
happy,cheerful,9,9,8,10,8,10,9,10,10,10,10,8,10,9.31
hard,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
fast,rapid,10,10,9,10,10,10,9,10,10,10,10,10,10,9.85
happy,glad,10,10,9,10,9,8,10,10,10,10,10,7,9,9.38
short,long,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
stupid,dumb,10,1,8,10,9,10,10,10,10,10,10,10,10,9.08
weird,strange,10,9,9,10,9,10,9,10,10,10,10,10,10,9.69
wide,narrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
bad,awful,10,9,8,10,9,10,9,10,9,10,10,9,9,9.38
easy,difficult,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
bad,terrible,10,9,8,10,9,10,10,10,10,10,10,9,8,9.46
hard,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
smart,dumb,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
insane,crazy,9,9,9,10,9,10,9,10,10,10,10,10,10,9.62
happy,mad,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
large,huge,10,9,9,10,9,10,10,10,10,10,10,9,10,9.69
hard,tough,10,8,7,8,9,10,9,10,9,10,10,9,10,9.15
new,fresh,6,8,8,10,9,8,7,10,8,10,9,9,10,8.62
sharp,dull,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
quick,rapid,10,10,9,10,10,10,9,10,10,10,10,10,10,9.85
dumb,foolish,7,9,8,10,8,8,9,10,9,10,9,9,10,8.92
wonderful,terrific,10,10,8,10,10,10,9,10,10,10,10,8,10,9.62
strange,odd,10,10,9,10,9,10,9,10,8,10,10,10,10,9.62
happy,angry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
narrow,broad,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
simple,easy,10,9,9,10,9,10,9,10,10,10,10,9,10,9.62
old,fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
apparent,obvious,10,8,9,10,10,10,8,10,7,10,10,10,6,9.08
inexpensive,cheap,9,9,9,10,9,10,10,10,10,10,10,10,10,9.69
nice,generous,7,7,7,9,3,4,10,10,7,9,8,7,7,7.31
weird,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
weird,odd,10,9,9,10,9,10,10,10,10,10,10,10,10,9.77
bad,immoral,8,5,5,9,5,10,8,10,7,10,10,7,7,7.77
sad,funny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
wonderful,great,10,10,8,10,9,10,10,10,9,10,10,8,10,9.54
guilty,ashamed,5,9,7,8,1,7,7,10,8,8,10,9,6,7.31
beautiful,wonderful,6,4,5,8,3,8,6,10,10,9,8,8,8,7.15
confident,sure,8,10,9,10,10,10,9,10,6,10,10,10,10,9.38
dumb,dense,6,5,8,9,7,10,0,0,7,10,10,9,10,7.00
large,big,10,10,10,10,10,10,10,10,10,10,10,10,10,10.00
nice,cruel,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
impatient,anxious,7,9,7,10,3,8,9,10,8,10,8,9,9,8.23
big,broad,5,9,6,9,6,10,8,10,9,10,9,9,9,8.38
strong,proud,5,1,5,7,1,4,7,5,6,8,8,0,5,4.77
unnecessary,necessary,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
restless,young,0,0,0,0,0,0,2,0,3,0,0,0,0,0.38
dumb,intelligent,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
bad,great,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
difficult,simple,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
necessary,important,10,10,7,7,9,10,9,10,10,10,9,7,10,9.08
bad,terrific,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
mad,glad,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
honest,guilty,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
easy,tough,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
easy,flexible,7,0,0,10,6,5,7,0,7,0,0,2,4,3.69
certain,sure,10,10,9,10,9,10,10,10,10,10,9,9,10,9.69
essential,necessary,10,10,9,10,10,10,10,10,10,10,10,9,10,9.85
different,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
sly,clever,6,7,9,10,9,10,9,8,10,8,7,7,8,8.31
crucial,important,10,10,9,9,10,10,9,10,9,10,10,9,10,9.62
harsh,cruel,6,7,8,10,8,10,9,8,9,9,8,9,9,8.46
childish,foolish,6,7,8,6,7,10,8,6,7,7,10,2,0,6.46
scarce,rare,10,8,9,10,10,10,10,10,10,9,10,9,10,9.62
friendly,generous,5,0,5,7,7,10,8,0,6,6,0,2,3,4.54
fragile,frigid,0,0,3,5,0,0,0,0,0,0,0,0,0,0.62
long,narrow,7,0,0,2,7,5,6,0,0,0,0,1,0,2.15
big,heavy,0,7,6,8,7,5,0,0,7,5,8,1,6,4.62
rough,frigid,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08
bizarre,strange,10,10,9,10,10,10,9,9,10,10,10,9,10,9.69
illegal,immoral,8,7,3,0,8,5,9,7,6,2,1,3,2,4.69
bad,guilty,7,6,1,1,8,5,7,0,5,5,3,2,5,4.23
modern,ancient,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
new,ancient,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
dull,funny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
happy,young,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08
easy,big,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
great,awful,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
tiny,huge,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
polite,proper,7,7,7,9,9,10,9,8,9,9,9,2,8,7.92
modest,ashamed,0,3,0,9,0,10,2,0,0,0,0,1,0,1.92
exotic,rare,10,7,9,10,9,10,9,10,8,9,8,2,7,8.31
dumb,clever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
delightful,wonderful,10,9,7,10,9,10,9,10,9,10,9,9,9,9.23
noticeable,obvious,10,8,8,10,9,10,9,10,9,9,9,9,9,9.15
afraid,anxious,5,8,6,9,2,10,7,7,10,9,2,8,7,6.92
formal,proper,7,9,8,10,9,10,9,9,10,9,8,2,5,8.08
dreary,dull,5,7,8,4,8,10,8,9,9,9,9,2,2,6.92
delightful,cheerful,10,7,9,10,9,10,9,6,9,9,10,8,4,8.46
