Word1,Word2,1,2,3,4,5,6,7,8,9,10,11,12,13,Average Score
alt,neu,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08
klug,intelligent,10,9,9,10,10,9,10,10,10,10,10,9,10,9.69
schwer,schwierig,9,9,10,10,6,8,10,8,10,10,10,10,10,9.23
glücklich,fröhlich,10,8,10,10,9,8,10,9,10,9,10,10,10,9.46
schwer,leicht,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15
schnell,rasant,10,9,9,10,10,8,10,9,9,7,10,9,10,9.23
glücklich,freudig,10,8,10,10,8,6,10,9,10,8,10,10,10,9.15
kurz,lang,0,0,1,0,0,0,0,1,0,0,0,1,0,0.23
dumm,blöd,10,9,9,9,10,9,10,9,8,10,10,10,10,9.46
sonderbar,eigentümlich,8,9,9,9,10,7,10,8,5,7,10,6,10,8.31
weit,eng,0,0,0,3,0,0,0,1,0,0,0,0,0,0.31
schlecht,schrecklich,10,0,9,8,0,5,10,8,9,8,2,9,10,6.77
leicht,schwierig,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
schlecht,furchtbar,10,0,9,9,2,7,10,9,9,8,8,8,10,7.62
schwer,einfach,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
klug,blöd,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
wahnsinnig,verrückt,10,9,9,10,7,10,10,10,10,10,10,9,10,9.54
glücklich,irre,0,0,1,7,0,0,0,0,0,0,0,1,5,1.08
groß,riesig,10,9,9,10,8,8,10,10,9,8,10,9,10,9.23
hart,zäh,7,9,5,10,0,4,10,8,9,8,10,0,10,6.92
neu,frisch,10,9,8,10,7,7,10,7,9,5,8,8,10,8.31
scharf,stumpf,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
rasch,rasant,10,9,9,10,10,8,10,8,10,10,10,7,10,9.31
blöd,töricht,10,8,5,9,7,2,10,8,0,5,10,8,10,7.08
wunderbar,fantastisch,10,9,10,10,10,7,10,8,9,10,10,8,10,9.31
eigentümlich,seltsam,0,9,9,9,8,7,10,9,1,6,10,4,10,7.08
glücklich,ärgerlich,0,0,1,0,0,0,0,1,0,0,0,1,0,0.23
eng,breit,0,0,1,0,0,0,0,1,0,0,0,1,0,0.23
einfach,leicht,10,9,9,10,8,10,10,9,10,10,10,9,10,9.54
alt,frisch,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
offentkundig,offensichtlich,6,9,5,8,10,0,0,10,1,10,10,8,10,6.69
preiswert,billig,10,9,5,7,10,5,10,9,9,9,10,10,10,8.69
nett,großmütig,10,9,9,7,0,0,0,6,5,0,0,7,10,4.85
sonderbar,normal,0,0,1,0,0,0,0,1,0,0,0,1,0,0.23
sonderbar,seltsam,8,9,9,7,10,8,10,9,9,10,10,6,10,8.85
schlecht,unmoralisch,10,8,5,9,0,1,0,7,0,8,2,8,5,4.85
traurig,lustig,0,0,0,0,0,0,0,1,0,0,0,1,0,0.15
wunderbar,großartig,10,9,10,10,10,7,10,9,9,9,10,8,10,9.31
schuldig,beschämt,7,0,1,7,0,2,10,5,1,0,10,8,10,4.69
schön,wunderbar,9,9,9,10,6,7,10,7,9,5,10,9,10,8.46
zuversichtlich,sicher,10,9,5,8,10,7,10,7,10,10,5,8,10,8.38
blöd,unterbelichtet,10,9,9,1,8,6,10,6,0,10,10,8,10,7.46
umfangreich,groß,10,9,5,10,8,7,10,7,9,0,8,7,10,7.69
nett,grausam,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08
ungeduldig,nervös,7,9,9,10,0,4,10,7,1,6,6,8,10,6.69
groß,breit,10,0,1,6,0,3,10,7,7,8,10,8,10,6.15
stark,stolz,0,0,7,8,0,1,10,4,7,0,1,6,5,3.77
