# Word 1	Word 2	similarity
没戏	没辙	4.9
只管	尽管	4
GDP	生产力	6.5
包袱	段子	2.6
由此	通过	3.4
日期	时间	6
爱面子	好高骛远	4
严厉	严谨	4.8
一方面	一边	5.4
托福	GRE	8
亏	幸亏	2.8
蹩脚	差强人意	4.5
容易	顺利	5.4
悲喜	大悲大喜	5.5
老气	土气	5.5
狭隘	狭窄	5.7
抄袭	克隆	5.8
害臊	腼腆	6.3
幻境	红楼梦	2.9
依稀	清晰	3.2
权限	权力	4
伟大	壮烈	4.1
娇艳	幽美	4.5
理解	理会	4.9
酣睡	打鼾	5.1
自然	环境	5.1
振兴	建设	5.2
节日	假日	6.8
的哥	司机	7.7
几乎	差点儿	8
江湖	红尘	3.9
路子	后门	3.9
牛脾气	我行我素	4.1
物品	物质	4.5
塞车	拥挤	4.6
面	首	4.7
冷僻	晦涩	5
免费	便宜	5.2
发票	账单	5.3
回收站	垃圾篓	6
典型	代表	6.5
必须	必需	7.3
出神	发楞	7.6
琢磨	镂刻	3.3
身姿	身手	3.6
质量	重量	3.7
事变	后院起火	3.9
大小	多少	4
信物	证件	4
牺牲	粉身碎骨	4.1
豆蔻年华	黄金时代	4.4
血液	红细胞	4.6
硅谷	中关村	4.8
天赋	技能	4.8
酷	爽	5
旅客	驴友	5
隆重	重要	5.1
候选人	备胎	5.2
平凡	平庸	5.8
了不得	好	6
鸣谢	酬答	6.1
线路	行程	6.1
多角度	多元化	6.4
要面子	虚荣心	6.7
许可证	执照	7.1
是非	方圆	2.9
崛起	凸起	3.3
工作日	开放日	3.5
大	高	3.9
吸引力	地磁力	3.9
右翼	左派	4.1
和谐	平安	5
商标	符号	5
违纪	贪污	5
环境	生态	5.1
实践	进行	5.1
买卖	营销	5.3
合理	合理性	5.6
辛勤	夜以继日	5.7
手续	过程	5.8
渣	废品	5.8
高峰	山巅	6.2
收费	缴纳	6.2
享受	大快朵颐	6.2
怯懦	胆小鬼	6.6
杂事	闲事	6.8
言语	语言	7
借口	理由	7.3
与	以及	7.5
怯弱	狗熊	3
