word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
old	new	A	1.58	2.72	2.81	2	7.25	1	0.41
smart	intelligent	A	9.2	1.75	2.46	1	7.11	1	0.67
hard	difficult	A	8.77	3.76	2.21	2	5.94	1	1.19
happy	cheerful	A	9.55	2.56	2.34	1	5.85	1	2.18
hard	easy	A	0.95	3.76	2.07	2	5.82	1	0.93
fast	rapid	A	8.75	3.32	3.07	2	5.66	1	1.68
happy	glad	A	9.17	2.56	2.36	1	5.49	1	1.59
short	long	A	1.23	3.61	3.18	2	5.36	1	1.58
stupid	dumb	A	9.58	1.75	2.36	1	5.26	1	1.48
weird	strange	A	8.93	1.59	1.86	1	4.26	1	1.3
wide	narrow	A	1.03	3.06	3.04	2	4.06	1	0.58
bad	awful	A	8.42	1.68	1.92	1	3.41	1	1.74
easy	difficult	A	0.58	2.07	2.21	1	2.83	1	0.36
bad	terrible	A	7.78	1.68	2.04	1	2.31	1	1.43
hard	simple	A	1.38	3.76	1.62	2	2.16	1	1.03
smart	dumb	A	0.55	1.75	2.36	1	2.1	1	0.47
insane	crazy	A	9.57	1.77	2.37	1	2.09	1	0.92
happy	mad	A	0.95	2.56	2.76	2	2.07	1	1.4
large	huge	A	9.47	3.37	3.54	2	2	1	1.27
hard	tough	A	8.05	3.76	2.5	2	1.99	1	1.18
new	fresh	A	6.83	2.81	1.97	1	1.98	1	1.2
sharp	dull	A	0.6	3.86	2.37	2	1.48	1	1.39
quick	rapid	A	9.7	2.89	3.07	2	1.38	1	1.14
dumb	foolish	A	6.67	2.36	1.84	1	1.34	1	1.36
wonderful	terrific	A	8.63	1.82	2.07	1	1.17	1	1.63
strange	odd	A	9.02	1.86	1.7	1	1.16	1	1.04
happy	angry	A	1.28	2.56	2.53	1	1.15	1	1.41
narrow	broad	A	1.18	3.04	2.45	2	1	1	1.18
simple	easy	A	9.4	1.62	2.07	1	0.96	1	1.51
old	fresh	A	0.87	2.72	1.97	1	0.91	1	1.64
apparent	obvious	A	8.47	1.73	2.07	1	0.89	1	1.52
inexpensive	cheap	A	8.72	2.22	2.11	1	0.79	1	0.81
nice	generous	A	5	2.18	2.25	1	0.77	1	1.14
weird	normal	A	0.72	1.59	1.4	1	0.76	1	1.15
weird	odd	A	9.2	1.59	1.7	1	0.75	1	1.27
bad	immoral	A	7.62	1.68	1.59	1	0.74	1	0.98
sad	funny	A	0.95	3.07	2.5	2	0.74	1	1.28
wonderful	great	A	8.05	1.82	1.81	1	0.7	1	1.05
guilty	ashamed	A	6.38	2.36	1.74	1	0.69	1	0.47
beautiful	wonderful	A	6.5	2.16	1.82	1	0.68	1	0.85
confident	sure	A	8.27	2.62	1.73	1	0.68	1	1.21
dumb	dense	A	7.27	2.36	3.14	2	0.68	1	0.43
large	big	A	9.55	3.37	3.66	2	0.68	1	0.44
nice	cruel	A	0.67	2.18	2.11	1	0.49	1	1.53
impatient	anxious	A	6.03	2.38	1.68	1	0.47	1	1.22
big	broad	A	6.73	3.66	2.45	2	0.47	1	1.68
strong	proud	A	3.17	3.14	2.07	2	0.42	0	1.46
unnecessary	necessary	A	0.63	1.56	1.8	1	0.41	0	0.61
restless	young	A	1.6	2.46	3.16	2	0.41	0	0.85
dumb	intelligent	A	0.75	2.36	2.46	1	0.37	0	1.5
bad	great	A	0.35	1.68	1.81	1	0.35	0	1.49
difficult	simple	A	0.87	2.21	1.62	1	0.34	0	0.44
necessary	important	A	7.37	1.8	2.14	1	0.34	0	1.36
bad	terrific	A	0.65	1.68	2.07	1	0.28	0	1.43
mad	glad	A	1.45	2.76	2.36	1	0.28	0	1.17
honest	guilty	A	1.18	1.66	2.36	1	0.27	0	1.68
easy	tough	A	0.52	2.07	2.5	1	0.27	0	1.87
easy	flexible	A	4.1	2.07	2.64	1	0.27	0	1.08
certain	sure	A	8.42	1.68	1.73	1	0.23	0	1.29
essential	necessary	A	8.97	1.52	1.8	1	0.21	0	1.11
different	normal	A	1.08	1.97	1.4	1	0.21	0	1.75
sly	clever	A	7.25	2.03	1.79	1	0.21	0	1.41
crucial	important	A	8.82	2.08	2.14	1	0.21	0	1.25
harsh	cruel	A	8.18	2.23	2.11	1	0.21	0	1.66
childish	foolish	A	5.5	2.52	1.84	1	0.21	0	1.45
scarce	rare	A	9.17	2.57	1.96	1	0.21	0	1.21
friendly	generous	A	5.9	2.32	2.25	1	0.21	0	0.6
fragile	frigid	A	2.38	2.86	3.28	2	0.21	0	0.84
long	narrow	A	3.57	3.18	3.04	2	0.21	0	1.62
big	heavy	A	6.18	3.66	3.37	2	0.21	0	1.54
rough	frigid	A	2.47	3.83	3.28	2	0.21	0	1.37
bizarre	strange	A	9.37	1.79	1.86	1	0.2	0	1.54
illegal	immoral	A	4.28	2.37	1.59	1	0.2	0	1.57
bad	guilty	A	4.2	1.68	2.36	1	0.2	0	1.47
modern	ancient	A	0.73	2.31	2.04	1	0.2	0	0.71
new	ancient	A	0.23	2.81	2.04	1	0.2	0	0.46
dull	funny	A	0.55	2.37	2.5	1	0.2	0	1.76
happy	young	A	2	2.56	3.16	2	0.2	0	0.47
easy	big	A	1.12	2.07	3.66	2	0.2	0	1.22
great	awful	A	1.17	1.81	1.92	1	0.15	0	1.53
tiny	huge	A	0.6	3.11	3.54	2	0.15	0	0.59
polite	proper	A	7.63	1.85	1.78	1	0.14	0	1.42
modest	ashamed	A	2.65	2.21	1.74	1	0.14	0	1
exotic	rare	A	8.05	2.11	1.96	1	0.14	0	0.93
dumb	clever	A	1.17	2.36	1.79	1	0.14	0	1.3
delightful	wonderful	A	8.65	2.38	1.82	1	0.14	0	1.29
noticeable	obvious	A	8.48	2.29	2.07	1	0.14	0	1.69
afraid	anxious	A	5.07	2.7	1.68	1	0.14	0	1.28
formal	proper	A	8.02	2.7	1.78	1	0.14	0	1.31
dreary	dull	A	8.25	2.33	2.37	1	0.14	0	1.85
delightful	cheerful	A	6.58	2.38	2.34	1	0.14	0	1.56
unhappy	mad	A	5.95	2.04	2.76	1	0.14	0	1.36
sad	terrible	A	5.4	3.07	2.04	1	0.14	0	0.44
sick	crazy	A	3.57	2.97	2.37	2	0.14	0	0.95
violent	angry	A	6.98	3.1	2.53	2	0.14	0	1.55
laden	heavy	A	5.9	2.96	3.37	2	0.14	0	1.28
dirty	cheap	A	1.6	4.23	2.11	2	0.14	0	1.1
elastic	flexible	A	7.78	3.73	2.64	2	0.14	0	1.09
hard	dense	A	5.9	3.76	3.14	2	0.14	0	1
recent	new	A	7.05	2.5	2.81	2	0.13	0	1.05
bold	proud	A	3.97	2.43	2.07	1	0.12	0	1.36
sly	strange	A	1.97	2.03	1.86	1	0	0	1.07
strange	sly	A	2.07	1.86	2.03	1	0	0	0.51
dumb	rare	A	0.48	2.36	1.96	1	0	0	1.55
sly	tough	A	0.58	2.03	2.5	1	0	0	1.01
terrific	mad	A	0.4	2.07	2.76	1	0	0	0.86
modest	flexible	A	0.98	2.21	2.64	1	0	0	1.89
fresh	wide	A	0.4	1.97	3.06	1	0	0	1.41
huge	dumb	A	0.48	3.54	2.36	2	0	0	0.91
large	flexible	A	0.48	3.37	2.64	2	0	0	1.59
dirty	narrow	A	0.3	4.23	3.04	2	0	0	0.89
wife	husband	N	2.3	4.13	4.11	3	8.85	1	0.84
book	text	N	6.35	4.9	4.93	4	8.81	1	1.43
groom	bride	N	3.17	4.54	4.63	3	8.65	1	0.68
night	day	N	1.88	4.52	3.92	3	8.19	1	1.17
south	north	N	2.2	3.84	4.14	3	7.72	1	0.59
plane	airport	N	3.65	4.92	4.87	4	7.57	1	1.07
uncle	aunt	N	5.5	4.24	4.17	3	7.46	1	1.63
horse	mare	N	8.33	5	4.75	4	7.4	1	0.73
bottom	top	N	0.7	4.25	3.93	3	6.96	1	1.16
friend	buddy	N	8.78	3.07	3.48	2	6.87	1	0.93
student	pupil	N	9.35	4.92	4.55	3	6.83	1	1.11
world	globe	N	6.67	4.36	4.59	3	6.79	1	0.67
leg	arm	N	2.88	4.83	4.96	4	6.73	1	0.79
plane	jet	N	8.1	4.92	4.77	4	6.62	1	1.24
woman	man	N	3.33	4.46	4.79	3	6.6	1	1.42
horse	colt	N	7.07	5	4.96	4	6.54	1	0.84
actress	actor	N	7.12	4.54	4.57	3	5.78	1	1.3
teacher	instructor	N	9.25	4.52	4.26	3	5.66	1	1.53
movie	film	N	8.87	4.59	4.71	3	5.43	1	1.72
bird	hawk	N	7.85	5	4.93	4	5.29	1	0.91
word	dictionary	N	3.68	3.56	4.62	3	5.2	1	1.56
money	salary	N	7.88	4.54	3.69	3	5.16	1	1.11
dog	cat	N	1.75	4.85	4.86	4	5.13	1	1.3
area	region	N	9.47	3.72	3.19	2	5.12	1	0.58
navy	army	N	6.43	3.93	4.7	3	5	1	0.53
book	literature	N	7.53	4.9	4.1	3	4.86	1	0.45
clothes	closet	N	3.27	4.76	4.83	4	4.83	1	1.29
sunset	sunrise	N	2.47	4.54	4.69	3	4.8	1	1.12
child	adult	N	2.98	4.78	4.4	3	4.59	1	1.48
cow	cattle	N	9.52	4.96	4.64	4	4.39	1	0.79
book	story	N	5.63	4.9	3.3	3	4.19	1	0.78
winter	summer	N	2.38	3.84	3.64	3	3.96	1	0.47
taxi	cab	N	9.2	4.93	4.88	4	3.86	1	1.23
tree	maple	N	5.53	5	4.46	3	3.67	1	1.19
bed	bedroom	N	3.4	5	4.9	4	3.53	1	1.25
roof	ceiling	N	7.58	4.79	4.85	4	3.5	1	0.77
disease	infection	N	7.15	3.45	4.1	3	3.45	1	1.08
arm	shoulder	N	4.85	4.96	4.93	4	3.35	1	1.81
sheep	lamb	N	8.42	4.9	4.97	4	3.33	1	1.51
lady	gentleman	N	3.42	4.33	3.57	3	3.29	1	1.08
boat	anchor	N	2.25	4.93	4.77	4	3.25	1	1.1
priest	monk	N	6.28	4.77	4.35	3	3.23	1	0.61
toe	finger	N	4.68	4.93	5	4	3.22	1	0.55
river	stream	N	7.3	4.89	4.5	3	3.21	1	0.81
anger	fury	N	8.73	2.41	2.89	2	3.06	1	1.89
date	calendar	N	4.42	3.9	4.62	3	3.05	1	1.5
sea	ocean	N	8.27	4.79	4.86	4	2.91	1	1.3
second	minute	N	4.62	3.3	3.04	2	2.84	1	1.15
hand	thumb	N	3.88	4.72	4.96	4	2.84	1	0.44
wood	log	N	7.3	4.85	4.96	4	2.79	1	0.87
mud	dirt	N	7.32	4.86	4.86	4	2.76	1	0.48
hallway	corridor	N	9.28	4.74	4.72	3	2.7	1	0.76
way	manner	N	7.62	2.34	1.62	1	2.56	1	0.44
mouse	cat	N	1.12	4.83	4.86	4	2.56	1	1.02
cop	sheriff	N	9.05	4.3	4.5	3	2.54	1	1.55
death	burial	N	4.93	3.73	3.93	3	2.46	1	1.88
music	melody	N	6.98	4.31	3.71	3	2.43	1	1.36
beer	alcohol	N	7.5	4.88	4.76	4	2.4	1	1.07
mouth	lip	N	7.1	4.74	4.96	4	2.28	1	1.4
