word1,word2,mean,sub1,sub2,sub3,sub4,sub5
あっけなく,苦労なく,4.8,3,6,5,3,7
あっけなく,ひとたまりもなく,5,5,7,7,0,6
あやしい,疑わしい,7.8,6,8,7,10,8
あやしい,怪しい,9.6,10,10,10,10,8
あやしく,疑わしく,8,8,9,8,7,8
あやしく,怪しく,10,10,10,10,10,10
あやしそう,怪しそう,10,10,10,10,10,10
いい加減に,荒々しく,5.8,5,8,8,2,6
いい匂いのする,芳ばしい,7,8,7,6,6,8
いかつくする,険しくする,7.2,7,6,10,7,6
いかつくする,怖くする,7.8,8,8,9,7,7
いかつくする,恐ろしくする,7.8,8,8,9,7,7
いかつくする,厳つくする,10,10,10,10,10,10
いぶかしく,怪しく,8,7,9,9,7,8
いぶかしく,疑わしく,8.2,8,9,9,7,8
いぶかしげ,怪しそう,7.8,8,9,8,6,8
いぶかしげ,あやしそう,8.4,8,9,9,8,8
うっとうしい,邪魔くさい,8.4,8,9,9,8,8
うっとうしい,面倒くさい,8.4,8,9,8,10,7
うっとうしい,わずらわしい,8.8,8,9,9,10,8
うっとうしく,じゃまくさく,9.2,8,10,10,10,8
うっとうしくて,うるさくて,7,8,5,9,5,8
うとましい,うっとうしい,8,8,10,10,3,9
うとましい,煩わしい,7.6,7,8,7,8,8
うとましい,わずらわしい,8.2,8,9,8,8,8
うるさく,激しく,3.6,1,6,3,2,6
うるさく,凄く,2.4,3,1,0,2,6
うるさく,騒がしく,7.8,6,8,8,9,8
うれしい,いい,5.8,8,7,4,4,6
うれしい,良い,6.2,6,6,8,5,6
うれしい,素晴らしい,6,7,6,5,5,7
うれしい,嬉しい,9.8,10,10,9,10,10
おいしく,芳ばしく,4.4,3,6,3,4,6
おかしい,尋常ではない,6.8,3,8,6,9,8
おかしい,おもしろおかしい,7.4,8,6,8,6,9
おかしくなって,弱くなって,2.4,4,2,0,3,3
おとなしい,慎ましやかな,6,6,7,6,4,7
おどろおどろしい,ものすごい,4.6,1,5,3,5,9
おどろおどろしい,恐ろしい,6.8,5,7,5,8,9
おめでたく,喜ばしく,9.2,9,10,10,9,8
おめでたく,めでたく,9.4,10,9,9,10,9
おもしろおかしい,面白い,7.8,9,8,6,7,9
おもしろおかしく,面白く,7.8,9,7,7,7,9
おもしろく,おもしろおかしく,6.6,3,7,6,8,9
おもしろく,面白おかしく,8,9,8,6,8,9
おもしろく,楽しく,6.6,4,6,5,10,8
おもしろく,面白く,10,10,10,10,10,10
かぐわしい,香ばしい,8.2,8,5,10,10,8
かぐわしい,芳しい,9.6,10,8,10,10,10
かぐわしく,芳しく,9.6,10,8,10,10,10
かぐわしく,香り良く,8.8,8,9,9,10,8
かぐわしく,香り高く,9,9,9,9,10,8
かっこわるかった,意気地なしだった,6.6,8,9,6,4,6
かなしい,悲しい,10,10,10,10,10,10
か細い,乏しい,6,6,8,7,2,7
か細い,弱々しい,8.2,7,8,9,9,8
か細い,か弱い,8,8,8,7,10,7
か細い,力ない,6.8,7,8,7,4,8
か細い,弱弱しい,8,7,8,7,10,8
か弱い,細い,4.6,2,5,5,4,7
か弱い,弱い,8.4,9,6,9,10,8
きつい,苦しい,7.2,9,8,5,6,8
きつい,厳しい,7.8,9,8,5,9,8
きつかった,つらかった,9,9,9,10,9,8
きつかった,厳しかった,8,9,8,8,7,8
きつかった,辛かった,9,9,9,9,10,8
