word1,  word2, mean, ano1, ano2, ano3, ano4, ano5
もちろん, 勿論, 10.0, 10, 10, 10, 10, 10
とにかく, いかんせん, 4.4, 5, 5, 5, 0, 7
次々, 順次, 7.8, 7, 7, 8, 8, 9
ほとんど, 全体的に, 6.6, 6, 5, 8, 5, 9
全て, 丸々, 8.0, 8, 6, 9, 9, 8
明らかに, さも, 3.0, 6, 3, 1, 0, 5
ありのまま, 全て, 4.4, 8, 5, 5, 4, 0
確かに, 当然, 3.2, 4, 3, 4, 5, 0
まったく, さも, 3.2, 8, 3, 3, 0, 2
わずかに, 多少, 5.6, 4, 6, 2, 8, 8
かすかに, 少々, 6.4, 6, 5, 6, 7, 8
ぐっと, 一気に, 5.6, 5, 3, 7, 8, 5
そのまま, 全て, 4.6, 6, 4, 8, 5, 0
どうにか, 辛くも, 6.0, 7, 5, 7, 6, 5
現在は, 現在, 9.2, 9, 8, 9, 10, 10
実に, まことに, 7.4, 8, 6, 8, 8, 7
とても, 一段と, 5.8, 8, 5, 5, 8, 3
結構, なかなか, 6.4, 8, 6, 6, 8, 4
本当に, 現に, 6.2, 8, 6, 7, 7, 3
絶対に, 完全に, 5.6, 7, 5, 6, 6, 4
ちょっと, 少し, 7.8, 8, 7, 8, 8, 8
きっぱり, 断固, 6.0, 8, 5, 8, 9, 0
主に, 専ら, 4.6, 7, 5, 2, 9, 0
かなり, まあまあ, 2.2, 3, 5, 3, 0, 0
実際に, 事実, 5.8, 6, 4, 5, 9, 5
思い通り, いかんなく, 4.0, 7, 4, 6, 0, 3
すべて, 丸々, 7.6, 8, 5, 8, 9, 8
そのままを, 何もかも, 5.4, 7, 4, 8, 8, 0
概して, おしなべて, 8.2, 7, 7, 8, 10, 9
とうとう, もはや, 3.6, 6, 5, 7, 0, 0
全体的に, 一般に, 4.6, 6, 6, 4, 5, 2
全て, 丸ごと, 8.0, 8, 6, 8, 9, 9
主として, 常に, 3.4, 7, 3, 5, 1, 1
たくさん, いっぱい, 8.6, 8, 7, 9, 10, 9
だいたい, 多くが, 6.2, 7, 6, 7, 4, 7
ちょっと, 結構, 1.2, 2, 3, 1, 0, 0
しょせん, 結局, 7.2, 7, 6, 6, 9, 8
だいぶ, しっかりと, 4.0, 7, 4, 5, 2, 2
きっぱりと, 断然として, 7.4, 8, 6, 5, 9, 9
ずらりと, 多数, 5.8, 7, 3, 5, 7, 7
やや, わずかに, 7.0, 6, 6, 6, 8, 9
度々, 結構, 6.4, 7, 4, 7, 9, 5
すべて, 完全に, 7.4, 8, 5, 7, 9, 8
主に, ほとんどが, 7.4, 8, 5, 8, 7, 9
正に, 正しく, 6.8, 8, 4, 8, 9, 5
ずっと, 大幅に, 4.0, 8, 3, 4, 5, 0
少し, いくばくか, 6.2, 8, 4, 4, 7, 8
いかにも, やはり, 4.0, 6, 5, 6, 3, 0
丸ごと, ぜんぶ, 8.2, 8, 4, 10, 10, 9
いかにも, 明らかに, 7.0, 7, 6, 9, 7, 6
やはり, あたかも, 3.4, 6, 5, 6, 0, 0
たまに, 度々, 3.4, 6, 6, 5, 0, 0
いささか, 結構, 4.0, 3, 5, 5, 7, 0
今現在, 今では, 8.4, 8, 6, 10, 9, 9
全体的に, おおむね, 7.8, 8, 6, 9, 8, 8
ひたすら, 偏に, 7.0, 8, 4, 5, 10, 8
もう, もはや, 7.2, 8, 5, 6, 9, 8
あまり, さほど, 7.0, 7, 4, 7, 9, 8
度々も, しばしばも, 7.8, 8, 5, 9, 10, 7
少々, 結構, 1.8, 3, 4, 2, 0, 0
すでに, 今や, 6.6, 6, 4, 8, 8, 7
専ら, ほとんど, 3.4, 5, 3, 1, 8, 0
やや, かすかに, 6.0, 6, 6, 2, 8, 8
もう, すでに, 7.8, 7, 6, 8, 9, 9
完全に, 断固, 2.2, 7, 3, 1, 0, 0
今, 本当に, 0.2, 0, 1, 0, 0, 0
いかにも, 正しく, 3.0, 6, 4, 2, 3, 0
総じて, おおむね, 7.2, 7, 4, 9, 9, 7
本当に, 現在, 0.4, 0, 2, 0, 0, 0
ぜんぶ, 全部, 10.0, 10, 10, 10, 10, 10
絶対, 頑として, 5.2, 7, 4, 5, 8, 2
びっしり, ぎっしりと, 8.2, 8, 6, 9, 9, 9
充分に, 思う存分に, 7.4, 8, 6, 7, 9, 7
ほとんど, 主に, 6.4, 8, 3, 5, 8, 8
びっしり, いっぱい, 8.2, 8, 6, 9, 9, 9
全て, 総じて, 7.0, 8, 6, 5, 10, 6
色々と, 度々, 3.4, 6, 7, 1, 3, 0
よく, 常に, 5.2, 7, 5, 7, 5, 2
今では, 今や, 8.2, 9, 5, 9, 10, 8
絶対, きっぱりと, 3.8, 3, 6, 5, 5, 0
少しばかり, なかなか, 2.0, 1, 4, 2, 3, 0
既に, よもや, 2.4, 2, 4, 6, 0, 0
全て, おしなべて, 4.0, 6, 4, 3, 7, 0
当然, 確実に, 4.2, 7, 6, 3, 5, 0
ずっと, 一段と, 4.2, 7, 4, 2, 8, 0
現在も, 現に, 7.4, 8, 6, 7, 9, 7
一段と, 一気に, 6.0, 6, 5, 3, 7, 9
専ら, ほとんどが, 4.0, 7, 5, 1, 7, 0
全部, そのままを, 4.6, 6, 4, 8, 5, 0
今, すでに, 4.0, 0, 6, 8, 4, 2
ほとんど, 総じて, 7.2, 7, 7, 8, 8, 6
とても, ぐんと, 4.2, 6, 4, 4, 7, 0
ずらりと, 盛大に, 4.0, 5, 6, 4, 5, 0
にっこり, ニンマリ, 5.4, 6, 7, 2, 9, 3
とっくに, もはや, 5.6, 7, 7, 3, 5, 6
何しろ, なんせ, 8.4, 8, 8, 9, 9, 8
今日では, 今や, 7.8, 8, 4, 9, 10, 8
今, 今も, 7.0, 9, 8, 6, 7, 5
どうにも, なんにも, 4.6, 8, 5, 7, 0, 3
専ら, ただただ, 6.0, 8, 6, 3, 5, 8
