word1,word2,mean,sub1,sub2,sub3,sub4,sub5
あげる,表す,1.6,2,1,0,2,3
あしらった,配置された,5.4,7,7,5,0,8
あしらった,使用した,5.8,7,7,8,0,7
あしらってある,飾ってある,7.2,7,7,7,8,7
あふれた,満ち溢れた,7.4,5,7,7,9,9
あふれる,富んだ,8.4,9,8,7,10,8
あふれる,する,0,0,0,0,0,0
あらわになった,出現した,6.4,5,8,5,7,7
あらわになった,さらされた,7.8,8,7,10,7,7
あらわになった,露出した,8.2,9,7,10,7,8
あらわになった,発覚した,8.6,9,8,10,8,8
あらわになった,表面化した,8.8,8,9,10,9,8
あらわになった,露呈した,9.4,9,10,10,10,8
いためた,病んだ,5,5,5,4,5,6
いっしょにした,添えた,7.4,6,8,10,5,8
いつもいる,駐留する,7,9,8,7,4,7
いつもそこに居る,常駐する,8.6,10,9,9,7,8
いなくした,出した,0.6,0,0,3,0,0
いなくなる,無くなる,6.6,7,5,9,6,6
イライラした,うざったい,5.8,5,8,5,5,6
うかがう,お聞きした,7.6,9,8,6,7,8
うかがう,様子見した,6,4,7,6,6,7
うかがった,のぞいた,5.2,2,6,5,5,8
うつされた,貰った,4.6,5,4,5,2,7
うつった,罹った,4.8,5,5,3,4,7
うもれた,溺れた,3.8,1,2,5,7,4
お願いした,懇願した,8.6,9,8,9,10,7
お願いする,懇望する,7.8,9,9,7,7,7
お願いする,頼み込む,7.8,9,8,7,7,8
かかった,罹患した,8,8,8,6,10,8
かき乱された,揺らした,3.8,3,0,3,6,7
かき乱された,揺れ動いた,5.8,6,5,4,7,7
かたる,名乗る,7,5,8,7,10,5
ぐしゃぐしゃになった,乱れた,7.4,7,5,10,7,8
くばられた,分けられた,6.6,8,5,5,8,7
けんかをする,ごたごたする,6.4,5,6,10,3,8
けんかをする,言い争う,7.4,7,6,10,6,8
けんかをする,もめる,8.2,8,7,10,8,8
コーディネートした,合わせた,7,6,6,6,9,8
こじらせた,患った,5.4,5,4,7,5,6
こじらせた,うつされた,3,2,1,3,3,6
こじらせる,罹る,3.2,3,3,1,3,6
ごたついた,言い合った,5.2,5,3,7,3,8
ごたついた,ごたごたした,8.2,10,7,8,7,9
コントロールした,操縦した,7.2,9,9,5,5,8
コントロールする,操縦する,8,8,10,9,5,8
コントロールできる,制御できる,9.2,9,10,10,9,8
ささくれる,荒れる,5.2,5,5,6,4,6
しけている,乱れている,4.8,7,4,4,2,7
しばった,着けた,2,0,1,0,3,6
しめた,閉じた,8.4,10,9,5,10,8
しめっていた,濡れていた,7.4,6,7,8,8,8
しめる,冷やす,2.6,0,1,3,3,6
すたれた,荒廃した,8,8,7,7,10,8
すたれた,廃れた,10,10,10,10,10,10
ズレていく,変わっていく,5.4,3,6,3,8,7
せずにいる,欠かす,4,3,4,3,3,7
ダッシュする,爆走する,6.8,6,9,5,6,8
ダッシュする,疾走する,7.6,9,9,6,6,8
ダッシュする,走行する,6.2,6,8,5,5,7
ダッシュする,駆け抜ける,7,6,7,7,8,7
ためらう,気後れする,7.4,5,8,7,9,8
ためらう,躊躇する,8.4,9,8,7,10,8
ためらった,躊躇した,8.6,9,8,8,10,8
たらした,広げた,2,0,4,0,2,4
たらした,入れた,2.6,1,4,0,5,3
チャレンジする,望む,5.2,7,8,3,3,5
チャレンジする,のぞむ,6.2,6,9,6,5,5
チャレンジする,立ち向かう,6.4,5,6,7,7,7
ちりばめている,飾ってある,4.2,3,5,1,6,6
ちりばめている,配置されてある,5.2,5,5,2,8,6
つかんだ,挟んだ,5.2,7,6,4,3,6
つかんだ,持った,7.2,7,6,8,8,7
つかんだ,掴んだ,9.4,9,8,10,10,10
つけた,着用した,8.2,7,8,10,8,8
つまみとった,持った,4.8,5,6,1,5,7
つまみとった,挟んだ,4.8,5,8,3,2,6
つむった,つぶった,9.4,10,9,9,10,9
ディスカッションする,討議する,8.6,10,8,8,9,8
ディスカッションする,話し合って検討する,9.2,10,9,9,10,8
とって亡くした,逝去した,6.8,9,5,7,5,8
トラブルになった,もめた,8.8,10,9,7,10,8
とらわれた,入った,2.4,0,4,0,2,6
とらわれた,陥った,5.4,5,6,6,3,7
ないがしろにする,無視する,7,5,9,6,7,8
なおした,表した,1.2,2,0,0,2,2
なくした,除いた,5.4,4,9,5,3,6
なくなった,終わった,5.2,5,8,4,3,6
なくなる,消える,7.2,4,8,9,8,7
なくなる,去る,6.2,7,8,5,4,7
