Word 1	Word 2	Human (mean)	1	2	3	4	5	6	7	8	9	10	11	12	13	
love	sex	6.77	9	6	8	8	7	8	8	4	7	2	6	7	8	
tiger	cat	7.35	9	7	8	7	8	9	8.5	5	6	9	7	5	7	
tiger	tiger	10.00	10	10	10	10	10	10	10	10	10	10	10	10	10	
book	paper	7.46	8	8	7	7	8	9	7	6	7	8	9	4	9	
computer	keyboard	7.62	8	7	9	9	8	8	7	7	6	8	10	3	9	
computer	internet	7.58	8	6	9	8	8	8	7.5	7	7	7	9	5	9	
plane	car	5.77	6	6	7	5	3	6	7	6	6	6	7	3	7	
train	car	6.31	7	7.5	7.5	5	3	6	7	6	6	6	9	4	8	
telephone	communication	7.50	7	6.5	8	8	6	8	8	7	5	9	9	8	8	
television	radio	6.77	7	7.5	9	7	3	6	7	8	5.5	6	8	6	8	
media	radio	7.42	7	7	8.5	9	6	7	7	7	5	7	10	8	8	
drug	abuse	6.85	7	5.5	8	10	7	9	7	7	4	5	8.5	4	7	
bread	butter	6.19	6	5.5	8	9	6	8	7	5	6	4	4	3	9	
cucumber	potato	5.92	7	7.5	7	6	4	6	6.5	4	6	4	5	6	8	
doctor	nurse	7.00	7	8	9	7	5	7	7	7	6	6	7	7	8	
professor	doctor	6.62	6	7.5	8	7	4	6	8.5	6	7	3	6	9	8
student	professor	6.81	6	8	9	6	4	8	7.5	8	6	3	8	7	8
smart	student	4.62	5	6	5	2	4	6	5	7	4	3	3	5	5
smart	stupid	5.81	3	7	9	9	5	8	6	0	6.5	3	5	7	7
company	stock	7.08	6	8	9	9	4	8	8	6	6	8	6	6	8
stock	market	8.08	8	9	9.5	8	5	9	9	9	7	8	7.5	7	9
stock	phone	1.62	3	1	0	1	4	3	1	1	1	3	0	2	1
stock	CD	1.31	2	1	0	1	4	1	0	0	1	3	3	1	0
stock	jaguar	0.92	1	0	0	1	4	0	2	0	1	3	0	0	0
stock	egg	1.81	5	1.5	0	1	3	0	0	2	2	3	1	5	0
fertility	egg	6.69	7	8	8	7	4	8	8	8	6	9	2	6	6
stock	live	3.73	8	5.5	6	1	4	5	0	0	1	6	2	3	7
stock	life	0.92	4	0	0	1	3	0	0	0	2	0	0	0	2
book	library	7.46	8	9	8	9	5	9	8	7	6	8	7	6	7
bank	money	8.12	8	9	9.5	9	5	9	8	9	6	9	9	8	7
wood	forest	7.73	9	6	9.5	7	5	9	9	9	6	8	9	8	6
money	cash	9.15	10	9.5	9.5	10	8	9	9.5	10	7	10	8.5	9	9
professor	cucumber	0.31	1	0	0	1	2	0	0	0	0	0	0	0	0
king	cabbage	0.23	1	0	0	1	1	0	0	0	0	0	0	0	0
king	queen	8.58	9	9.5	9.5	10	7	8	8.5	9	8	8	8	8	9
king	rook	5.92	7	7.5	7	6	7	8	8.5	0	8	0	6	5	7
bishop	rabbi	6.69	7	7.5	8.5	2	5	7	9	7	8	7	6	7	6
Jerusalem	Israel	8.46	9	8	9.5	9	8	8	8	8	9	8	9.5	7	9
Jerusalem	Palestinian	7.65	9	8	9	8	4	8	8	7	9	8	9.5	5	7
holy	sex	1.62	3	0	5	2	1	1	7	0	1	0	0	0	1
fuck	sex	9.44	10	9.75	10	10	8	9	9	10	9	10	8	10	10
Maradona	football	8.62	9	9	9.5	10	7	9	8.5	8	9	10	9	6	8
football	soccer	9.03	9	9.9	9	10	8	7	9.5	10	8	10	9	9	9
football	basketball	6.81	8	7.5	8.5	3	3	8	8	6	7.5	8	7	6	8
football	tennis	6.63	7	7.25	8.5	3	3	7	8	6	7.5	8	7	6	8
tennis	racket	7.56	4	8	9.5	9	4	9	7.5	8	7.8	8	8.5	6	9
Arafat	peace	6.73	8	8	9.5	9	2	8	7	7	7	5	7	4	6
Arafat	terror	7.65	8	8	9.5	9	5	9	7	7	8	10	8	4	7
Arafat	Jackson	2.50	4	7.5	0	2	3	1	0	0	4	1	6	2	2
law	lawyer	8.38	9	8	9.5	9	6	9	9.5	9	7	10	6	8	9
movie	star	7.38	9	8	9.5	8	6	9	7	8	7	5	6.5	5	8
movie	popcorn	6.19	7	6	9	4	5	7	8	9	6	4	6.5	2	7
movie	critic	6.73	8	7.5	9.5	9	6	8	7.5	8	5	4	5	3	7
movie	theater	7.92	8	8	9.5	9	6	8	8.5	7	7	10	6	7	9
physics	proton	8.12	9	8.5	9	10	6	8	8.5	8	7	8	9.5	5	9
physics	chemistry	7.35	8	8.5	9	8	5	7	8	7	8	7	7	4	9
space	chemistry	4.88	6	8	3	5	5	6	7.5	6	5	3	1	2	6
alcohol	chemistry	5.54	8	8	7	5	5	8	6	4	4	2	6	5	4
vodka	gin	8.46	9	9.5	9	10	7	8	8.5	9	8	10	6	8	8
vodka	brandy	8.13	9	9.25	9	7	7	8	8.5	9	8	10	6	7	8
drink	car	3.04	7	0.5	0	2	2	7	5	5	4	0	2	0	5
drink	ear	1.31	3	0	0	5	2	2	2	0	1	1	0	0	1
drink	mouth	5.96	8	6	7	7	3	7	4	6	7.5	6	6	2	8
drink	eat	6.87	8	8.75	9	9	3	7	8	9	7.5	0	5	7	8
baby	mother	7.85	9	9	9	9	5	8	7	8	8	10	8	3	9
drink	mother	2.65	3	1	1	3	3	7	0	2	6.5	0	4	1	3
car	automobile	8.94	9	9.75	10	10	5	6	10	10	7.5	10	10	10	9
gem	jewel	8.96	9	9.5	10	10	6	8	8.5	10	7.5	10	10	8	10
journey	voyage	9.29	9	9.75	10	10	6	7	9.5	10	9.5	10	10	10	10
boy	lad	8.83	9	9.75	10	10	6	5	9.5	9	7.5	10	10	9	10
coast	shore	9.10	9	9.75	10	10	6	6	10	8	9.5	10	10	10	10
asylum	madhouse	8.87	9	9.75	7	10	6	7	9.5	10	9	10	10	9	9
magician	wizard	9.02	9	9.75	10	10	7	6	9	8	8.5	10	10	10	10
midday	noon	9.29	10	9.75	9	10	7	6	9.5	10	9.5	10	10	10	10
furnace	stove	8.79	9	9.75	9.5	10	7	7	9	9	8	10	10	8	8
food	fruit	7.52	8	8.75	8	8	5	7	8	7	7	9	8	7	7
bird	cock	7.10	8	8.5	8	7	4	7	7	6	6.8	9	8	7	6
bird	crane	7.38	9	8.5	8.5	7	4	7	7	7	7	9	8	7	7
tool	implement	6.46	8	6	8	7	4	7	6	6	5	6	10	7	4
brother	monk	6.27	8	7	8	8	5	7	8.5	7	5	0	8	5	5
crane	implement	2.69	3	6	1	1	4	1	0	6	1	0	9	3	0
lad	brother	4.46	8	5.5	5	2	4	3	7	4	2.5	7	5	2	3
journey	car	5.85	7	7	7	6	4	6	6	7	5	5	5	4	7
monk	oracle	5.00	7	8	3	4	4	6	5	8	6	3	4	6	1
cemetery	woodland	2.08	3	2	1	2	3	6	2	3	3	0	0	1	1
food	rooster	4.42	7	4	4	6	3	6	7	2	4.5	2	8	1	3
coast	hill	4.38	6	6	6	5	2	6	5	5	4	3	4	1	4
forest	graveyard	1.85	4	2	1	1	2	6	1	3	3	0	0	1	0
shore	woodland	3.08	6	6	1	1	2	6	5	4	4	3	0	1	1
monk	slave	0.92	3	2	1	1	2	2	0	0	0	0	0	1	0
coast	forest	3.15	6	6	1	1	2	6	5	4	4	3	1	1	1
lad	wizard	0.92	4	0	0	1	2	3	0	0	0	0	0	1	1
chord	smile	0.54	3	0	0	1	2	1	0	0	0	0	0	0	0
glass	magician	2.08	4	1	4	2	2	3	0	0	0	0	10	0	1
noon	string	0.54	2	0	0	1	2	1	0	0	1	0	0	0	0
rooster	voyage	0.62	2	0	0	1	2	1	0	0	1	0	1	0	0
money	dollar	8.42	9	9.5	9	10	5	8	8.5	8	8	10	8.5	8	8
money	cash	9.08	10	9.5	9.5	10	5	9	9.5	10	8	10	8.5	9	10
money	currency	9.04	10	9.5	9	10	5	9	9.5	9	9	10	8.5	9	10
money	wealth	8.27	9	8	9	9	5	6	8.5	9	9	10	8	9	8
money	property	7.57	8	8.25	6	8	5	8	8	7	8.2	8	8	7	9
money	possession	7.29	8	8.25	7	7	5	7	7.5	5	9	7	8	7	9
money	bank	8.50	9	8	9.5	9	6	9	8.5	9	8.5	10	8	7	9
money	deposit	7.73	9	8	9.5	9	5	9	8	7	7	8	7	7	7
money	withdrawal	6.88	8	8	9	9	5	9	8	5	6.5	8	2	5	7
money	laundering	5.65	8	7	8	7	5	7	7.5	2	5	5	5	0	7
money	operation	3.31	4	2	3	5	5	5	2	2	4	3	5	1	2
tiger	jaguar	8.00	9	9	9	10	5	8	7.5	6	8	9	8.5	7	8
tiger	feline	8.00	9	7.5	9.5	8	5	8	8.5	8	8	9	8.5	7	8
tiger	carnivore	7.08	9	6	8	5	5	8	7	7	8.1	8	6	7	8
tiger	mammal	6.85	9	7	7.5	5	5	7	7	7	8	8	8.5	6	4
tiger	animal	7.00	8	7	7.5	5	5	6	6	7	7.5	9	10	5	8
tiger	organism	4.77	8	7	6	1	5	5	1	2	6	4	10	5	2
tiger	fauna	5.62	8	7	7.5	1	2	6	7	2	5.5	9	10	5	3
tiger	zoo	5.87	8	5.25	8	3	5	7	6	8	6	5	5	5	5
psychology	psychiatry	8.08	9	8.5	9.5	9	4	8	8	8	7	9	9	8	8
psychology	anxiety	7.00	7	7	8.5	4	5	8	5	7	8	8	8.5	7	8
psychology	fear	6.85	8	7	8.5	4	5	8	5	5	8	8	8.5	7	7
psychology	depression	7.42	9	8	9	5	5	8	5	7	8	8	8.5	7	9
psychology	clinic	6.58	8	8	9.5	5	4	9	7	6	6	7	6	4	6
psychology	doctor	6.42	9	8	9	5	5	8	7.5	6	5	5	7	4	5
psychology	Freud	8.21	9	9.25	9.5	10	5	8	8	9	7.5	9	8.5	7	7
psychology	mind	7.69	9	9.5	9	9	5	8	5	8	7	8	8.5	7	7
psychology	health	7.23	9	8	8.5	5	5	7	5	8	8	8	8.5	6	8
psychology	science	6.71	8	7.75	7.5	5	5	7	4	8	6.5	7	9.5	4	8
psychology	discipline	5.58	8	7	7.5	6	4	6	4	7	6	8	2	5	2
psychology	cognition	7.48	9	9.75	8.5	6	3	8	8	8	6.5	9	7.5	8	6
planet	star	8.45	9	9.9	10	10	5	8	8.5	9	8	9	8.5	7	8
planet	constellation	8.06	9	8.25	9	9	6	8	8	8	8	9	8.5	6	8
planet	moon	8.08	9	8.5	9	9	5	8	7	9	8	10	8.5	7	7
planet	sun	8.02	9	8.75	9	8	5	8	7	9	8	10	8.5	7	7
planet	galaxy	8.11	9	8.25	9.5	8	5	8	8	8	8.2	10	9.5	6	8
