Word 1	Word 2	Human (mean)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
energy	secretary	1.81	1	0	4	2	4	5	1	1	1	0	1	1	4	0	2	2
secretary	senate	5.06	7	1	7	4	4	7	1	3	4	8	4	5	6	7	6	7
energy	laboratory	5.09	7	1	7.5	4	6	7	4	6	1	2	4	3	7	9	6	7
computer	laboratory	6.78	8	5	8	7	6	9	6	7	6	7.5	4	5	8	9	7	6
weapon	secret	6.06	7	4	8	6	6	9	2	6	3	6	5	6	8	9	7	5
FBI	fingerprint	6.94	8	6	8	5	5	9	7	7	6	6	6	8	9	7	6	8
FBI	investigation	8.31	9	9	8.5	9	7	9	8	8	8	7.5	6	9	10	9	7	9
investigation	effort	4.59	5	1	7.5	2	4	7	6	5	2	2	2	7	6	5	6	6
Mars	water	2.94	2	1	3	2	1	8	0	4	2	6	1	1	3	0	5	8
Mars	scientist	5.63	8	1	7	4	6	8	1	6	5	6	2	9	7	5	7	8
news	report	8.16	9	6	8.5	8	7	9	7	8	7	8	7	9	10	9	9	9
canyon	landscape	7.53	9	7.5	7	7	7	7	8	7	7	8	6	9	8	6	8	9
image	surface	4.56	7	1	5	1	1	5	4	3	4	4	5	5	7	7	8	6
discovery	space	6.34	8	2	7.5	9	5	7	4	7	5	6	5	7	8	8	7	6
water	seepage	6.56	8	7	9	7	7	8	7	6	0	6	1	8	7	8	8	8
sign	recess	2.38	4	1	2	4	5	4	0	4	3	0	1	0	0	0	6	4
Wednesday	news	2.22	4	1	4	2	3	6	2	3	0.5	0	1	1	0	1	4	3
mile	kilometer	8.66	9	9.5	9	8	9	8	9	9	8.5	7.5	8	8	10	8	9	9
computer	news	4.47	5	1	7	6	5	5	1	4	6.5	4	2	5	3	7	6	4
territory	surface	5.34	6	2	8.5	4	7	7	8	4	2	6	6	5	6	2	8	4
atmosphere	landscape	3.69	7	0	2	1	8	7	1	5	2	0	2	5	6	1	7	5
president	medal	3.00	5	2	1	3	6	6	1	7	2	0	1	3	2	1	4	4
war	troops	8.13	8	8.5	9	9	8	8	8	8	6	7.5	8	8	9	8	9	8
record	number	6.31	8	6	8	5	7	7	3	4	5	8	5	8	8	5	8	6
skin	eye	6.22	7	9	7	3	6	6	7	7	6	7.5	5	6	8	2	8	5
Japanese	American	6.50	7	6	8.5	6	6	4	8	7	7	7.5	5	8	9	1	8	6
theater	history	3.91	5	6	6	4	5	3	0	3	6.5	6	1	5	1	1	7	3
volunteer	motto	2.56	2	5	1	1	4	2	0	3	3	0	4	7	0	3	4	2
prejudice	recognition	3.00	7	4	2	1	6	2	4	5	1	0	6	5	0	0	3	2
decoration	valor	5.63	6	8	7	8	8	2	2	9	5	0	7	8	9	1	8	2
century	year	7.59	8	9	8	9	7	6	8	8	7	7.5	7	9	8	5	9	6
century	nation	3.16	5	0	7.5	5	4	4	0	2	2	4	2	2	2	0	8	3
delay	racism	1.19	1	0	1	1	6	1	0	1	0	0	4	0	0	0	3	1
delay	news	3.31	7	4	3	1	6	5	6	4	4	0	1	4	3	0	3	2
minister	party	6.63	8	7.5	8	7	6	7	8	8	5	7.5	6	1	8	8	8	3
peace	plan	4.75	5	2	7	6	7	4	3	5	4	4	5	3	7	2	9	3
minority	peace	3.69	6	0	7	3	1	5	6	4	4	4	3	3	5	0	5	3
attempt	peace	4.25	7	4	7	2	7	4	2	3	3	4	3	5	5	4	5	3
government	crisis	6.56	8	5	8	5	7	7	5	6	5	6	7	8	7	9	7	5
deployment	departure	4.25	7	0	2	6	7	5	6	4	2	2	5	6	2	0	8	6
deployment	withdrawal	5.88	9	9	6	6	3	8	8	4	3	2	5	8	9	0	8	6
energy	crisis	5.94	8	5	8	5	8	8	8	4	1	4	2	7	5	8	8	6
announcement	news	7.56	8	7	8	8	8	9	8	6	6	8	8	8	6	8	9	6
announcement	effort	2.75	5	6	2	2	1	5	4	2	2	2	2	0	3	0	5	3
stroke	hospital	7.03	9	8	8	8	7	3	8	7	6	7.5	7	7	9	3	8	7
disability	death	5.47	7	8	6.5	4	3	7	7	5	6	2	7	2	8	2	8	5
victim	emergency	6.47	8	7	7.5	4	5	6	6	7	6	4	5	6	9	9	9	5
treatment	recovery	7.91	8	8	8.5	9	9	8	9	8	6.5	7.5	7	7	10	5	9	7
