ISO 639-3	ISO 639-2	ISO 639-1	Language Name
afa	afa		Afro-Asiatic languages
alg	alg		Algonquian languages
apa	apa		Apache languages
art	art		Artificial languages
ath	ath		Athapascan languages
aus	aus		Australian languages
bad	bad		Banda languages
bai	bai		Bamileke languages
bat	bat		Baltic languages
ber	ber		Berber languages
bih	bih	bh	Bihari 
bnt	bnt		Bantu (Other)
btk	btk		Batak languages
cai	cai		Central American Indian languages
cau	cau		Caucasian languages
cel	cel		Celtic languages
cmc	cmc		Chamic languages
cpe	cpe		Creoles and pidgins, English based
cpf	cpf		Creoles and pidgins, French-based 
cpp	cpp		Creoles and pidgins, Portuguese-based 
crp	crp		Creoles and pidgins 
cus	cus		Cushitic languages
day	day		Land Dayak languages
dra	dra		Dravidian languages
fiu	fiu		Finno-Ugrian languages
gem	gem		Germanic languages
him	him		Himachali languages; Western Pahari languages
ijo	ijo		Ijo languages
inc	inc		Indic languages
ine	ine		Indo-European languages
ira	ira		Iranian languages
iro	iro		Iroquoian languages
kar	kar		Karen languages
khi	khi		Khoisan languages
kro	kro		Kru languages
map	map		Austronesian languages
mkh	mkh		Mon-Khmer languages
mno	mno		Manobo languages
mun	mun		Munda languages
myn	myn		Mayan languages
nah	nah		Nahuatl languages
nai	nai		North American Indian languages
nic	nic		Niger-Kordofanian languages
nub	nub		Nubian languages
oto	oto		Otomian languages
paa	paa		Papuan languages
phi	phi		Philippine languages
pra	pra		Prakrit languages
roa	roa		Romance languages
sai	sai		South American Indian (Other)
sal	sal		Salishan languages
sem	sem		Semitic languages
sgn	sgn		Sign Languages
sio	sio		Siouan languages
sit	sit		Sino-Tibetan languages
sla	sla		Slavic languages
smi	smi		Sami languages
son	son		Songhai languages
ssa	ssa		Nilo-Saharan languages
tai	tai		Tai languages
tup	tup		Tupi languages
tut	tut		Altaic languages
wak	wak		Wakashan languages
wen	wen		Sorbian languages
ypk	ypk		Yupik languages
znd	znd		Zande languages
aaa			Ghotuo
aab			Alumu-Tesu
aac			Ari
aad			Amal
aae			Arbëreshë Albanian
aaf			Aranadan
aag			Ambrak
aah			Abu' Arapesh
aai			Arifama-Miniafia
aak			Ankave
aal			Afade
aam			Aramanik
aan			Anambé
aao			Algerian Saharan Arabic
aap			Pará Arára
aaq			Eastern Abnaki
aar	aar	aa	Afar
aas			Aasáx
aat			Arvanitika Albanian
aau			Abau
aaw			Solong
aax			Mandobo Atas
aaz			Amarasi
aba			Abé
abb			Bankon
abc			Ambala Ayta
abd			Manide
abe			Western Abnaki
abf			Abai Sungai
abg			Abaga
abh			Tajiki Arabic
abi			Abidji
abj			Aka-Bea
abk	abk	ab	Abkhazian
abl			Lampung Nyo
abm			Abanyom
abn			Abua
abo			Abon
abp			Abellen Ayta
abq			Abaza
abr			Abron
abs			Ambonese Malay
abt			Ambulas
abu			Abure
abv			Baharna Arabic
abw			Pal
abx			Inabaknon
aby			Aneme Wake
abz			Abui
aca			Achagua
acb			Áncá
acd			Gikyode
ace	ace		Achinese
acf			Saint Lucian Creole French
ach	ach		Acoli
aci			Aka-Cari
ack			Aka-Kora
acl			Akar-Bale
acm			Mesopotamian Arabic
acn			Achang
acp			Eastern Acipa
acq			Ta'izzi-Adeni Arabic
acr			Achi
acs			Acroá
act			Achterhoeks
acu			Achuar-Shiwiar
acv			Achumawi
acw			Hijazi Arabic
acx			Omani Arabic
acy			Cypriot Arabic
acz			Acheron
ada	ada		Adangme
adb			Adabe
add			Dzodinka
ade			Adele
adf			Dhofari Arabic
adg			Andegerebinha
adh			Adhola
adi			Adi
adj			Adioukrou
adl			Galo
adn			Adang
ado			Abu
adp			Adap
adq			Adangbe
adr			Adonara
ads			Adamorobe Sign Language
adt			Adnyamathanha
adu			Aduge
adw			Amundava
adx			Amdo Tibetan
ady	ady		Adyghe
adz			Adzera
aea			Areba
aeb			Tunisian Arabic
aec			Saidi Arabic
aed			Argentine Sign Language
aee			Northeast Pashayi
aek			Haeke
ael			Ambele
aem			Arem
aen			Armenian Sign Language
aeq			Aer
aer			Eastern Arrernte
aes			Alsea
aeu			Akeu
aew			Ambakich
aey			Amele
aez			Aeka
afb			Gulf Arabic
afd			Andai
afe			Putukwam
afg			Afghan Sign Language
afh	afh		Afrihili
afi			Akrukay
afk			Nanubae
afn			Defaka
afo			Eloyi
afp			Tapei
afr	afr	af	Afrikaans
afs			Afro-Seminole Creole
aft			Afitti
afu			Awutu
afz			Obokuitai
aga			Aguano
agb			Legbo
agc			Agatu
agd			Agarabi
age			Angal
agf			Arguni
agg			Angor
agh			Ngelima
agi			Agariya
agj			Argobba
agk			Isarog Agta
agl			Fembe
agm			Angaataha
agn			Agutaynen
ago			Tainae
agq			Aghem
agr			Aguaruna
ags			Esimbi
agt			Central Cagayan Agta
agu			Aguacateco
agv			Remontado Dumagat
agw			Kahua
agx			Aghul
agy			Southern Alta
agz			Mt. Iriga Agta
aha			Ahanta
ahb			Axamb
ahg			Qimant
ahh			Aghu
ahi			Tiagbamrin Aizi
ahk			Akha
ahl			Igo
ahm			Mobumrin Aizi
ahn			Àhàn
aho			Ahom
ahp			Aproumu Aizi
ahr			Ahirani
ahs			Ashe
aht			Ahtena
aia			Arosi
aib			Ainu (China)
aic			Ainbai
aid			Alngith
aie			Amara
aif			Agi
aig			Antigua and Barbuda Creole English
aih			Ai-Cham
aii			Assyrian Neo-Aramaic
aij			Lishanid Noshan
aik			Ake
ail			Aimele
aim			Aimol
ain	ain		Ainu (Japan)
aio			Aiton
aip			Burumakok
aiq			Aimaq
air			Airoran
ais			Nataoran Amis
ait			Arikem
aiw			Aari
aix			Aighon
aiy			Ali
aja			Aja (Sudan)
ajg			Aja (Benin)
aji			Ajië
ajp			South Levantine Arabic
ajt			Judeo-Tunisian Arabic
aju			Judeo-Moroccan Arabic
ajw			Ajawa
ajz			Amri Karbi
aka	aka	ak	Akan
akb			Batak Angkola
akc			Mpur
akd			Ukpet-Ehom
ake			Akawaio
akf			Akpa
akg			Anakalangu
akh			Angal Heneng
aki			Aiome
akj			Aka-Jeru
akk	akk		Akkadian
akl			Aklanon
akm			Aka-Bo
ako			Akurio
akp			Siwu
akq			Ak
akr			Araki
aks			Akaselem
akt			Akolet
aku			Akum
akv			Akhvakh
akw			Akwa
akx			Aka-Kede
aky			Aka-Kol
akz			Alabama
ala			Alago
alc			Qawasqar
ald			Alladian
ale	ale		Aleut
alf			Alege
alh			Alawa
ali			Amaimon
alj			Alangan
alk			Alak
all			Allar
alm			Amblong
aln			Gheg Albanian
alo			Larike-Wakasihu
alp			Alune
alq			Algonquin
alr			Alutor
als			Tosk Albanian
alt	alt		Southern Altai
alu			'Are'are
alw			Alaba-K’abeena
alx			Amol
aly			Alyawarr
alz			Alur
ama			Amanayé
amb			Ambo
amc			Amahuaca
ame			Yanesha'
amf			Hamer-Banna
amg			Amarag
amh	amh	am	Amharic
ami			Amis
amj			Amdang
amk			Ambai
aml			War-Jaintia
amm			Ama (Papua New Guinea)
amn			Amanab
amo			Amo
amp			Alamblak
amq			Amahai
amr			Amarakaeri
ams			Southern Amami-Oshima
amt			Amto
amu			Guerrero Amuzgo
amv			Ambelau
amw			Western Neo-Aramaic
amx			Anmatyerre
amy			Ami
amz			Atampaya
ana			Andaqui
anb			Andoa
anc			Ngas
and			Ansus
ane			Xârâcùù
anf			Animere
ang	ang		Old English (ca. 450-1100)
anh			Nend
ani			Andi
anj			Anor
ank			Goemai
anl			Anu
anm			Anal
ann			Obolo
ano			Andoque
anp	anp		Angika
anq			Jarawa (India)
anr			Andh
ans			Anserma
ant			Antakarinya
anu			Anuak
anv			Denya
anw			Anaang
anx			Andra-Hus
any			Anyin
anz			Anem
aoa			Angolar
aob			Abom
aoc			Pemon
aod			Andarum
aoe			Angal Enen
aof			Bragat
aog			Angoram
aoh			Arma
aoi			Anindilyakwa
aoj			Mufian
aok			Arhö
aol			Alor
aom			Ömie
aon			Bumbita Arapesh
aor			Aore
aos			Taikat
aot			A'tong
aox			Atorada
aoz			Uab Meto
apb			Sa'a
apc			North Levantine Arabic
apd			Sudanese Arabic
ape			Bukiyip
apf			Pahanan Agta
apg			Ampanang
aph			Athpariya
api			Apiaká
apj			Jicarilla Apache
apk			Kiowa Apache
apl			Lipan Apache
apm			Mescalero-Chiricahua Apache
apn			Apinayé
apo			Apalik
app			Apma
apq			A-Pucikwar
apr			Arop-Lokep
aps			Arop-Sissano
apt			Apatani
apu			Apurinã
apv			Alapmunte
apw			Western Apache
apx			Aputai
apy			Apalaí
apz			Safeyoka
aqc			Archi
aqg			Arigidi
aqm			Atohwaim
aqn			Northern Alta
aqp			Atakapa
aqr			Arhâ
aqz			Akuntsu
ara	ara	ar	Arabic
arb			Standard Arabic
arc	arc		Official Aramaic (700-300 BCE)
ard			Arabana
are			Western Arrarnta
arg	arg	an	Aragonese
arh			Arhuaco
ari			Arikara
arj			Arapaso
ark			Arikapú
arl			Arabela
arn	arn		Mapudungun
aro			Araona
arp	arp		Arapaho
arq			Algerian Arabic
arr			Karo (Brazil)
ars			Najdi Arabic
aru			Aruá (Amazonas State)
arv			Arbore
arw	arw		Arawak
arx			Aruá (Rodonia State)
ary			Moroccan Arabic
arz			Egyptian Arabic
asa			Asu (Tanzania)
asb			Assiniboine
asc			Casuarina Coast Asmat
asd			Asas
ase			American Sign Language
asf			Australian Sign Language
asg			Cishingini
ash			Abishira
asi			Buruwai
asj			Nsari
ask			Ashkun
asl			Asilulu
asm	asm	as	Assamese
asn			Xingú Asuriní
aso			Dano
asp			Algerian Sign Language
asq			Austrian Sign Language
asr			Asuri
ass			Ipulo
ast	ast		Asturian
asu			Tocantins Asurini
asv			Asoa
asw			Australian Aborigines Sign Language
asx			Muratayak
asy			Yaosakor Asmat
asz			As
ata			Pele-Ata
atb			Zaiwa
atc			Atsahuaca
atd			Ata Manobo
ate			Atemble
atg			Ivbie North-Okpela-Arhe
ati			Attié
atj			Atikamekw
atk			Ati
atl			Mt. Iraya Agta
atm			Ata
atn			Ashtiani
ato			Atong
atp			Pudtol Atta
